names,mu,mu_star,sigma,mu_star_conf,index
M1 mix,,5.678018453706972,,2.5767329305741487,10
M0 mix,,1.9357810940041404,,1.0610361474724443,10
M1 mix,,6.828808050409346,,1.2021763226114315,110
M0 mix,,3.0120205850518342,,0.7132467197498367,110
M1 mix,,5.822747558240656,,0.833819554736029,210
M0 mix,,2.5862819274607927,,0.39453144176768573,210
M1 mix,,7.270960476562906,,0.702354600810061,310
M0 mix,,3.1971775640375943,,0.4315269281394126,310
M1 mix,,6.94020760671508,,0.6789809567062557,410
M0 mix,,3.038525699394262,,0.3287274602974173,410
M1 mix,,7.039208465999792,,0.5772790371523369,510
M0 mix,,2.8649248700189243,,0.2635842095755522,510
M1 mix,,7.056591703497897,,0.47457497280178307,610
M0 mix,,3.107361750982413,,0.2645685754116708,610
M1 mix,,6.83432460250283,,0.47772820307624486,710
M0 mix,,3.009490593556484,,0.26827267467944593,710
M1 mix,,7.1128717215891495,,0.404616522473505,810
M0 mix,,2.9552882609191267,,0.2244745015060433,810
M1 mix,,6.6717336162830865,,0.431235874660722,910
M0 mix,,3.181269454489242,,0.22146805670010827,910
