names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
Construction of buildings,,1.60E-05,,5.72E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,123,38.5634923,130,4.02530883,0,0.000142134,3,_ammonia_production__steam_reforming__liquid___kilogram__RER_w_o_RU__None_
Other mining and quarrying,,0.000224465,,0.000131752,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,123,38.5634923,130,4.02530883,0.01,0.003273085,3,_ammonia_production__steam_reforming__liquid___kilogram__RER_w_o_RU__None_
Manufacture of basic metals,,0.00152203,,0.000741585,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,123,38.5634923,130,4.02530883,0.04,0.01842305,2,_ammonia_production__steam_reforming__liquid___kilogram__RER_w_o_RU__None_
Manufacture of chemicals and chemical products,,0.000399678,,0.00015929,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,123,38.5634923,130,4.02530883,0.01,0.003957224,2,_ammonia_production__steam_reforming__liquid___kilogram__RER_w_o_RU__None_
Manufacture of electrical equipment,-2.39E-06,2.39E-06,1.17E-06,6.71E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,123,38.5634923,130,4.02530883,0,1.67E-05,2,_ammonia_production__steam_reforming__liquid___kilogram__RER_w_o_RU__None_
Land transport and transport via pipelines,,0.000168517,,6.09E-05,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,123,38.5634923,130,4.02530883,0,0.001511756,2,_ammonia_production__steam_reforming__liquid___kilogram__RER_w_o_RU__None_
Mining of metal ores,,6.82E-05,,2.58E-05,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,123,38.5634923,130,4.02530883,0,0.000641279,2,_ammonia_production__steam_reforming__liquid___kilogram__RER_w_o_RU__None_
Manufacture of coke and refined petroleum products,,4.87E-05,,3.00E-05,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,123,38.5634923,130,4.02530883,0,0.000744704,1,_ammonia_production__steam_reforming__liquid___kilogram__RER_w_o_RU__None_
Manufacture of other non-metallic mineral products,,1.23E-05,,6.59E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,123,38.5634923,130,4.02530883,0,0.000163799,1,_ammonia_production__steam_reforming__liquid___kilogram__RER_w_o_RU__None_
"Electricity, gas, steam and air conditioning supply",,2.40E-05,,8.39E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,0.000208497,138,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Land transport and transport via pipelines,,0.000199391,,6.11E-05,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,0.001518806,20,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Construction of buildings,-4.16E-09,5.10E-09,5.30E-09,2.00E-09,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,4.97E-08,17,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Other mining and quarrying,,5.42E-08,,1.93E-08,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,4.79E-07,15,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Manufacture of other non-metallic mineral products,,4.85E-07,,3.16E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,7.84E-06,7,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Manufacture of basic metals,,9.44E-06,,4.73E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,0.000117544,6,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Manufacture of coke and refined petroleum products,,2.53E-07,,1.05E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,2.62E-06,6,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
"Waste collection, treatment, and disposal activities",,1.50E-06,,3.75E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,9.33E-06,5,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Manufacture of other transport equipment,,6.83E-07,,3.20E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,7.95E-06,4,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Civil engineering,,1.95E-05,,1.01E-05,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,0.000250659,4,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,1.90E-08,,5.77E-09,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,1.43E-07,2,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Mining of coal and lignite,,1.42E-06,,6.66E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,1.65E-05,2,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,1.46E-05,,1.04E-05,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,0.00025853,2,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Forestry and logging,,2.65E-08,,2.66E-08,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,6.60E-07,2,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Unknown,1.29E-08,1.29E-08,5.89E-09,3.40E-09,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,8.46E-08,1,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Water transport,1.32E-09,4.02E-09,5.69E-09,2.27E-09,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,5.65E-08,1,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Manufacture of chemicals and chemical products,,9.03E-07,,3.79E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,9.41E-06,1,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Specialized construction activities,,1.93E-09,,9.44E-10,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,2.35E-08,1,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Extraction of crude petroleum and natural gas,,5.46E-09,,3.50E-09,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,8.69E-08,1,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
Mining of metal ores,,6.41E-07,,3.98E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,236,46.94930196,210,4.02530883,0,9.88E-06,1,_market_group_for_transport__freight_train___ton_kilometer__RER__None_
"Electricity, gas, steam and air conditioning supply",,1.09E-05,,2.36E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,5.85E-05,66,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Land transport and transport via pipelines,,8.30E-07,,3.98E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,9.89E-06,16,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Mining of coal and lignite,,2.05E-07,,1.03E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,2.57E-06,12,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Construction of buildings,,4.91E-09,,2.36E-09,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,5.88E-08,7,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of other non-metallic mineral products,,2.37E-06,,1.20E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,2.98E-05,5,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Civil engineering,,1.47E-07,,4.54E-08,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,1.13E-06,4,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Other mining and quarrying,,7.21E-07,,1.42E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,3.54E-06,4,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of basic metals,,5.02E-06,,1.61E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,4.01E-05,4,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
"Crop and animal production, hunting and related service activities",,7.82E-08,,6.00E-08,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,1.49E-06,4,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of coke and refined petroleum products,,4.42E-06,,3.16E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,7.84E-05,3,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of other transport equipment,6.74E-07,6.74E-07,2.35E-07,1.35E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,3.35E-06,2,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,1.07E-05,,3.14E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,7.81E-05,2,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
"Waste collection, treatment, and disposal activities",,9.56E-08,,2.72E-08,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,6.75E-07,2,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of food products,,1.37E-07,,7.67E-08,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,1.90E-06,1,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Mining of metal ores,,1.85E-07,,1.27E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,3.15E-06,1,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of chemicals and chemical products,,9.00E-07,,6.79E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,134,40.00871301,170,4.02530883,0,1.69E-05,1,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
"Waste collection, treatment, and disposal activities",,4.86E-06,,1.53E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,3.81E-05,72,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Electricity, gas, steam and air conditioning supply",,6.96E-05,,2.49E-05,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,0.000617715,19,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Land transport and transport via pipelines,,0.00285659,,0.001163831,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0.07,0.02891283,13,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of coal and lignite,,9.77E-06,,2.66E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,6.60E-05,7,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Construction of buildings,,2.40E-07,,9.27E-08,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,2.30E-06,7,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Civil engineering,,0.000130709,,6.70E-05,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,0.001664122,6,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of other non-metallic mineral products,,1.03E-05,,4.48E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,0.000111301,5,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Other mining and quarrying,,1.36E-05,,5.03E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,0.00012493,4,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of basic metals,,0.000106083,,6.30E-05,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,0.001564891,4,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,1.31E-05,,5.96E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,0.000148084,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of coke and refined petroleum products,,0.000200812,,0.000252994,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,0.006285093,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.000355112,,0.000147207,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0.01,0.003657038,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of electrical equipment,-8.30E-08,8.30E-08,6.50E-08,3.41E-08,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,8.48E-07,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of machinery and equipment,5.87E-07,5.97E-07,3.73E-07,2.10E-07,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,5.21E-06,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of chemicals and chemical products,,4.38E-05,,2.20E-05,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,0.000547384,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of rubber and plastic products,,2.35E-06,,1.50E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,3.72E-05,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Specialized construction activities,3.46E-08,8.55E-08,1.09E-07,4.33E-08,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,1.08E-06,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of metal ores,,9.93E-06,,5.81E-06,10,_market_for_ammonia__anhydrous__liquid___kilogram__RER__None_,5,149,43.12317705,190,4.02530883,0,0.000144215,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Electricity, gas, steam and air conditioning supply",,7.31E-05,,1.52E-05,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,0.000377256,66,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Land transport and transport via pipelines,,5.34E-06,,2.58E-06,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,6.40E-05,16,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Mining of coal and lignite,,1.45E-06,,8.18E-07,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,2.03E-05,12,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Construction of buildings,,4.31E-08,,1.07E-08,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,2.66E-07,7,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of other non-metallic mineral products,,1.66E-05,,1.52E-05,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,0.000378543,5,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Civil engineering,,6.01E-07,,3.16E-07,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,7.85E-06,4,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Other mining and quarrying,,4.04E-06,,8.01E-07,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,1.99E-05,4,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of basic metals,,3.19E-05,,1.07E-05,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,0.000265029,4,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
"Crop and animal production, hunting and related service activities",,5.11E-07,,2.07E-07,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,5.13E-06,4,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of coke and refined petroleum products,,3.72E-05,,8.09E-06,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,0.00020093,3,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of other transport equipment,3.74E-06,3.74E-06,1.59E-06,9.14E-07,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,2.27E-05,2,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,5.45E-05,,2.41E-05,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,0.000599002,2,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
"Waste collection, treatment, and disposal activities",,1.27E-06,,1.18E-06,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,2.93E-05,2,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of food products,,5.67E-07,,2.39E-07,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,5.93E-06,1,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Mining of metal ores,,1.15E-06,,4.32E-07,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,1.07E-05,1,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
Manufacture of chemicals and chemical products,,5.81E-06,,4.10E-06,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,134,39.50260067,170,4.02530883,0,0.000101819,1,_market_for_transport__freight__inland_waterways__barge___ton_kilometer__RER__None_
"Waste collection, treatment, and disposal activities",,2.55E-05,,9.82E-06,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,0.000243916,72,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.000555521,,0.000225161,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0.01,0.005593623,19,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Land transport and transport via pipelines,,0.02337306,,0.007311834,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0.58,0.181646544,13,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of coal and lignite,,3.85E-05,,2.22E-05,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,0.000550961,7,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Construction of buildings,,8.36E-07,,3.86E-07,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,9.58E-06,7,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Civil engineering,,0.000872336,,0.000382729,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0.02,0.009508063,6,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of other non-metallic mineral products,,5.88E-05,,3.07E-05,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,0.000763323,5,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Other mining and quarrying,,9.12E-05,,3.45E-05,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,0.000857772,4,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of basic metals,,0.000451435,,0.000126389,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0.01,0.003139849,4,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.000106897,,3.29E-05,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,0.000817679,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of coke and refined petroleum products,,0.000721687,,0.000687462,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0.02,0.017078479,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.002221758,,0.001037,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0.06,0.025762008,2,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of electrical equipment,-5.88E-07,5.88E-07,4.24E-07,2.64E-07,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,6.57E-06,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of machinery and equipment,5.00E-06,5.00E-06,2.98E-06,1.75E-06,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,4.34E-05,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of chemicals and chemical products,,0.000255304,,0.000142488,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0.01,0.003539805,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of rubber and plastic products,,1.43E-05,,7.41E-06,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,0.000184161,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Specialized construction activities,3.03E-07,6.77E-07,9.40E-07,4.20E-07,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,1.04E-05,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of metal ores,,5.51E-05,,2.79E-05,10,_market_for_ammonium_nitrate_phosphate___kilogram__RER__None_,3,149,45.25269961,190,4.02530883,0,0.000694237,1,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Land transport and transport via pipelines,,0.150696046,,0.07111733,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,3.74,1.766754628,146,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Construction of buildings,,0.000196022,,7.99E-05,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0,0.001984412,21,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.074996759,,0.034029571,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,1.86,0.84539031,16,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Manufacture of chemicals and chemical products,,0.272225356,,0.10558181,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,6.76,2.622949313,15,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Other mining and quarrying,,0.002325098,,0.000684029,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.06,0.016993209,13,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Manufacture of basic metals,,0.014545185,,0.006432839,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.36,0.159809815,8,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Manufacture of other non-metallic mineral products,,0.000573339,,0.000199449,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.01,0.00495487,7,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
"Waste collection, treatment, and disposal activities",,0.012321195,,0.001729987,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.31,0.04297775,7,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Manufacture of coke and refined petroleum products,,0.004719147,,0.002637287,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.12,0.065517632,4,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Extraction of crude petroleum and natural gas,,0.022147627,,0.013179392,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.55,0.327413183,4,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
"Crop and animal production, hunting and related service activities",,0.006229426,,0.001577638,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.15,0.039192973,4,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.000511108,,0.000215181,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,261,66.85908818,240,4.02530883,0.01,0.005345694,2,_nutrient_supply_from_diammonium_phosphate___kilogram__RER__None_
