names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-8.718751570385708e-06,9.19518129453012e-06,1.3784618935599045e-05,7.603073163414863e-06,10,203,304.32952666282654,1450,0.060263141594340305,0.01525838356789832,0.012616456696855835
"'market for coal tar' (kilogram, GLO, None)",,2.108399112795527e-05,,4.712219787785725e-06,10,203,304.32952666282654,1450,0.060263141594340305,0.03498654495957343,0.007819406129713422
"'market group for heat, district or industrial, natural gas' (megajoule, RER, None)",-1.5881781111191234e-05,1.660606056414285e-05,1.9134154332066912e-05,1.0574954504713518e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.027555915813228082,0.01754796418663092
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",,1.4450014261325333e-05,,1.1419521392755903e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.023978196089734602,0.018949429270757406
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",,1.133115282571581e-05,,6.369216320204162e-06,10,203,304.32952666282654,1450,0.060263141594340305,0.018802791434258698,0.010569008106278905
"'market for electricity, high voltage' (kilowatt hour, XK, None)",,1.9262328660186143e-05,,1.591412915057412e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.031963698125547425,0.026407732370973366
"'market for natural gas, high pressure' (cubic meter, IT, None)",,0.00026624936943372247,,0.000308190253968912,10,203,304.32952666282654,1450,0.060263141594340305,0.44181130022389614,0.5114075466617494
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,2.418358586144325e-06,,1.2712162035945498e-06,10,203,304.32952666282654,1450,0.060263141594340305,0.004012997865964971,0.002109442305798969
"'market group for diesel' (kilogram, RER, None)",4.696390748690215e-06,1.0191383077083616e-05,1.3189486423007512e-05,5.099696363920363e-06,10,203,304.32952666282654,1450,0.060263141594340305,0.016911469942417927,0.008462380534770043
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",4.782183291399574e-05,4.782183291399574e-05,6.69071872607245e-05,4.442537443702891e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.0793550280466742,0.07371898188792929
"'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)",,0.00014013384411639546,,6.134519689650281e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.232536572785572,0.10179555076873743
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,6.920133158583444e-05,,6.518920375396069e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.11483193500209682,0.10817425382961285
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",,1.242422187287747e-05,,7.423943499685558e-06,10,203,304.32952666282654,1450,0.060263141594340305,0.02061661829134429,0.012319210886248896
"'market for heat, central or small-scale, other than natural gas' (megajoule, RoW, None)",,2.4624429945406534e-05,,1.2207302661972674e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.040861510525231515,0.020256664918244387
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,2.8020909274459674e-05,,2.4439104420660057e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.04649759128570107,0.04055398337041773
"'market for electricity, high voltage' (kilowatt hour, IE, None)",,0.00378340318543878,,0.0051157334518551496,10,203,304.32952666282654,1450,0.060263141594340305,6.278137988402024,8.48899230360669
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,6.077864675656901e-05,,6.248297820791909e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.10085542364468618,0.10368357266954577
"'market group for diesel' (kilogram, GLO, None)",,3.0957793567411994e-05,,1.166540859220803e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.05137102505508846,0.019357451808160633
"'market for electricity, high voltage' (kilowatt hour, RS, None)",,0.00012198552174862636,,0.00010240548236515996,10,203,304.32952666282654,1450,0.060263141594340305,0.20242144455356903,0.16993054071840408
"'market for electricity, high voltage' (kilowatt hour, KR, None)",,1.388135759330944e-05,,7.4608038036649125e-06,10,203,304.32952666282654,1450,0.060263141594340305,0.023034573415955346,0.01238037647271546
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,0.00047614189825655786,,0.00040644924049761994,10,203,304.32952666282654,1450,0.060263141594340305,0.7901046737020351,0.6744574374061377
"'market for natural gas, high pressure' (cubic meter, RU, None)",-4.412860884138447e-06,4.412860884138447e-06,7.482044043110148e-06,4.875307580423617e-06,10,203,304.32952666282654,1450,0.060263141594340305,0.007322653229470677,0.00809003223436577
"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.000302747921313944,,0.00025984199564791315,10,203,304.32952666282654,1450,0.060263141594340305,0.5023765992020187,0.43117897403529415
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.0017128164617432912,,0.0009616115348565898,10,203,304.32952666282654,1450,0.060263141594340305,2.842228958578145,1.595687694693469
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,0.0006949642314396046,,0.0010447065540726559,10,203,304.32952666282654,1450,0.060263141594340305,1.1532160671571643,1.7335746634403324
"'market for electricity, high voltage' (kilowatt hour, SK, None)",,4.04222527510191e-05,,2.9812501036142214e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.06707624541568111,0.0494705391179641
"'market for biogas' (cubic meter, RoW, None)",,0.0003798275691410336,,0.00029898382070173607,10,203,304.32952666282654,1450,0.060263141594340305,0.63028172626285,0.4961304916931439
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,4.493836979191368e-05,,2.6546130186314067e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.07457024078567807,0.04405035894910461
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.00013431882592565108,0.00013431882592565108,0.00010104609564827364,6.115126833301625e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.22288719501186083,0.10147374782525334
"'market for spent nuclear fuel' (kilogram, GLO, None)",,8.32974133080611e-05,,7.449575820715232e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.13822281929603897,0.12361744880248442
"'market group for electricity, high voltage' (kilowatt hour, US, None)",,8.659139703789606e-06,,4.977215657530835e-06,10,203,304.32952666282654,1450,0.060263141594340305,0.014368881997686694,0.008259137386223284
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,6.816446502906793e-05,,8.908951243707693e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.11311136994469217,0.14783416542864716
"'market for electricity, high voltage' (kilowatt hour, DE, None)",,6.597488708281817e-05,,3.7582939343795185e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.1094780081777454,0.06236471971007372
"'market for heavy fuel oil' (kilogram, RoW, None)",,0.0002136913795599452,,8.326029897914634e-05,10,203,304.32952666282654,1450,0.060263141594340305,0.35459714496533035,0.1381612321833647
