names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category
"market for aluminium, wrought alloy (kg, GLO)",,4.603900487,,0.355811065,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,22.84224176,1.765355787,Manufacture of basic metals
"market group for elec., medium voltage (kWh, RAS)",,2.481435651,,0.198129117,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,12.31163732,0.983017162,"Electricity, gas, steam and air conditioning supply"
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.369310358,0.953659258,1.127284558,0.093129318,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,4.731578233,0.462060899,"Electricity, gas, steam and air conditioning supply"
other,,0.882161749,,0.085238671,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,4.376843505,0.422911472,
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.791668225,,0.092649047,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,3.927860092,0.459678035,
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.783907439,,0.068005285,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,3.88935497,0.337408066,
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.73204883,,0.087428894,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,3.6320586,0.433778258,
"'market for electricity, medium voltage' (kilowatt hour, CA-QC, None)",-0.532356797,0.563133346,0.829573755,0.082699343,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,2.793984811,0.410312602,
"'market group for electricity, medium voltage' (kilowatt hour, CA, None)",-0.258404414,0.536124262,0.78920202,0.075246013,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,2.659979303,0.373332922,
"'market for electricity, high voltage' (kilowatt hour, CA-QC, None)",,0.435159769,,0.088654981,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,2.159044201,0.439861486,
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",,0.418890864,,0.035845573,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,2.078326066,0.177847729,
"'market for electricity, high voltage' (kilowatt hour, UZ, None)",,0.407916986,,0.055960684,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,2.023879195,0.277648806,
"'aluminium ingot, primary, to aluminium, wrought alloy market' (kilogram, GLO, None)",,0.372741948,,0.069848409,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,1.849358325,0.346552722,
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.362372864,,0.062313728,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,1.797912138,0.309169419,
"'market for electricity, high voltage' (kilowatt hour, KP, None)",,0.359142934,,0.068688977,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,1.781886848,0.340800203,
"'market for ferrochromium, high-carbon, 68% Cr' (kilogram, GLO, None)",-0.242878866,0.347272871,0.328362241,0.022347215,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,1.722993557,0.110875656,
"'market for electricity, high voltage' (kilowatt hour, TJ, None)",,0.335587929,,0.072069237,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,1.665018744,0.357571355,
"'market for electricity, high voltage' (kilowatt hour, NP, None)",,0.327440991,,0.056615679,300,_chromium_production___kilogram__RoW__None_,434,24003.74796,80400,20.15520427,1.62459773,0.280898562,
