names,mu,mu_star,sigma,mu_star_conf,index
M1 mix,,4.200596513000205,,3.19738246345657,10
M0 mix,,0.6934046181054458,,0.44145497131951633,10
M1 mix,,6.929620262639545,,1.309244501536336,110
M0 mix,,2.7006465202161114,,0.5095736711521532,110
M1 mix,,6.5230928280731035,,0.9213910681783284,210
M0 mix,,2.835829863904696,,0.3951215521444208,210
M1 mix,,6.691803114565494,,0.6176173000376823,310
M0 mix,,3.026716888644097,,0.33473420192891923,310
M1 mix,,6.91325929976813,,0.6514695660753774,410
M0 mix,,3.0378628384939144,,0.3054982627506809,410
M1 mix,,6.866974307532189,,0.504497266446009,510
M0 mix,,2.873920201911133,,0.26879591691638205,510
M1 mix,,6.71185075692179,,0.5055388103679102,610
M0 mix,,2.543224113841838,,0.2271969519649641,610
M1 mix,,6.769290657783296,,0.485607815654938,710
M0 mix,,2.9083012261168824,,0.22379903562458758,710
M1 mix,,7.044203117429672,,0.45055291067373504,810
M0 mix,,2.7250618240086277,,0.22070031519476846,810
M1 mix,,6.753757274969571,,0.36782933863032674,910
M0 mix,,2.95804994166314,,0.20578732574462366,910
