names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
"Electricity, gas, steam and air conditioning supply",,8.867262950639585,,2.9364038345855104,30,205,291.04489064216614,750,54.698955968801435,16.211027785790268,5.368299600197749,87,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Wholesale trade, except of motor vehicles and motorcycles",,5.483910290912237,,2.082716947585502,30,205,291.04489064216614,750,54.698955968801435,10.025621501880378,3.807599086120434,21,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Civil engineering,,2.5264385409845187,,0.6144746465217309,30,205,291.04489064216614,750,54.698955968801435,4.6188057820071,1.123375456877473,17,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Unknown,,0.11591596656226914,,0.06097949658852301,30,205,291.04489064216614,750,54.698955968801435,0.21191623223738304,0.11148201187478568,16,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of machinery and equipment,,0.027854376397975736,,0.006122529380461025,30,205,291.04489064216614,750,54.698955968801435,0.05092304945246669,0.011193137550839406,9,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of other non-metallic mineral products,,0.23754198225627868,,0.06434858124533505,30,205,291.04489064216614,750,54.698955968801435,0.43427151039549117,0.11764133356043843,9,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Waste collection, treatment, and disposal activities",,0.5248488498444444,,0.2217509247411638,30,205,291.04489064216614,750,54.698955968801435,0.9595226097986251,0.4054024812971633,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of coke and refined petroleum products,,3.99763842114031,,1.0923642890824234,30,205,291.04489064216614,750,54.698955968801435,7.308436423211509,1.9970477858946223,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of basic metals,,1.8594685430941207,,0.5776249878688355,30,205,291.04489064216614,750,54.698955968801435,3.3994589296269258,1.0560073362246525,5,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of chemicals and chemical products,,1.277116580035179,,0.43777559958611173,30,205,291.04489064216614,750,54.698955968801435,2.334809791915601,0.8003362986229666,5,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of electrical equipment,-0.0013447928861542262,0.0013447928861542262,0.0011139792447474519,0.0003888784806801038,30,205,291.04489064216614,750,54.698955968801435,0.002458534833683579,0.0007109431501798824,4,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of rubber and plastic products,,0.06176701023212564,,0.025658292414341945,30,205,291.04489064216614,750,54.698955968801435,0.11292173522901534,0.04690819405945632,3,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Land transport and transport via pipelines,,74.42593531176578,,19.77849990152964,30,205,291.04489064216614,750,54.698955968801435,136.06463595798064,36.158825248530654,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of food products,,1.3294551068954725,,0.36021871746853873,30,205,291.04489064216614,750,54.698955968801435,2.4304944826620676,0.6585477018500978,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Crop and animal production, hunting and related service activities",,0.38267068152253414,,0.14187955061790639,30,205,291.04489064216614,750,54.698955968801435,0.6995941234066652,0.25938255695196455,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Forestry and logging,,102.74248355941604,,13.392453768316072,30,205,291.04489064216614,750,54.698955968801435,187.83262265191522,24.483929411659535,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Mining of coal and lignite,,0.13719760283274957,,0.034237919721190335,30,205,291.04489064216614,750,54.698955968801435,0.25082307404734155,0.06259336968098361,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Construction of buildings,,0.008750084471642399,,0.0027792297486819084,30,205,291.04489064216614,750,54.698955968801435,0.015996803442890523,0.005080955750356723,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Mining of metal ores,,0.19385946667997,,0.06678398065431188,30,205,291.04489064216614,750,54.698955968801435,0.3544116395759754,0.1220937026520275,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.23639298569841138,,0.06496318487083011,30,205,291.04489064216614,750,54.698955968801435,0.4321709281494194,0.11876494481518636,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
