names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
Manufacture of other non-metallic mineral products,,0.20280354720887295,,0.03226031872565959,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,0.37076310437176485,0.05897794236522514,76,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
"Electricity, gas, steam and air conditioning supply",,8.881858333354101,,1.3884037296238998,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,16.237710896017894,2.53826367438494,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of machinery and equipment,,0.023180903320529307,,0.003277640273118167,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,0.0423790599106699,0.0059921441187792135,15,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of food products,,1.3902010520731516,,0.15369232170672723,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,2.541549518543057,0.28097852872070994,11,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of chemicals and chemical products,,0.9165406842690286,,0.15809869900734133,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,1.6756091008241447,0.2890342168459593,11,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of basic metals,,1.7954715511046004,,0.2918357165349403,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,3.282460367486138,0.5335306887784005,8,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
"Waste collection, treatment, and disposal activities",,0.482888323858015,,0.1102059200355019,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,0.8828108604731676,0.20147719107903977,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Land transport and transport via pipelines,,51.76310562310912,,8.703328968443754,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,94.63271228180876,15.911325571566412,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Manufacture of coke and refined petroleum products,,2.0804699490184193,,0.5552872242600394,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,3.803491149273588,1.015169694603966,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Civil engineering,,1.9435721096576422,,0.3406454090861496,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,3.5532160993460176,0.6227640053686637,5,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.20224184361276765,,0.03751782745486951,100,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,736.7996752262115,2400,54.698955968801435,0.36973620434020726,0.06858965914499081,4,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4
