names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
Manufacture of other non-metallic mineral products,,0.00021399478980818702,,7.818645863528051e-05,10,66,20.549530267715454,110,0.1910780517772595,0.11199339108692695,0.04091859735226042,20,NGhighpressureGB
Manufacture of coke and refined petroleum products,,0.0008626510351960034,,0.0002669907676480151,10,66,20.549530267715454,110,0.1910780517772595,0.45146526624711425,0.13972864238706356,12,NGhighpressureGB
"Electricity, gas, steam and air conditioning supply",,0.009860455029256096,,0.0037141460299009764,10,66,20.549530267715454,110,0.1910780517772595,5.160433099218779,1.943784749402078,8,NGhighpressureGB
Mining of coal and lignite,,0.00019032634948472696,,0.00013421778083170152,10,66,20.549530267715454,110,0.1910780517772595,0.09960659935270388,0.07024238502711957,7,NGhighpressureGB
Manufacture of basic metals,,0.005677659190087762,,0.0015438088543973843,10,66,20.549530267715454,110,0.1910780517772595,2.9713821850697086,0.807946721268128,6,NGhighpressureGB
Land transport and transport via pipelines,,0.0009599809955961533,,0.00041375663283613065,10,66,20.549530267715454,110,0.1910780517772595,0.5024025452777837,0.21653802149838144,4,NGhighpressureGB
"Wholesale trade, except of motor vehicles and motorcycles",,0.0005371297091379357,,0.000265563771053235,10,66,20.549530267715454,110,0.1910780517772595,0.2811048700475919,0.13898182893491284,3,NGhighpressureGB
Manufacture of chemicals and chemical products,,0.00603962841448999,,0.003701447253669495,10,66,20.549530267715454,110,0.1910780517772595,3.160817455649177,1.9371388912758478,2,NGhighpressureGB
Mining of metal ores,,0.00022647054816731728,,0.00011145751997669203,10,66,20.549530267715454,110,0.1910780517772595,0.11852253362480111,0.05833088569827922,2,NGhighpressureGB
"Waste collection, treatment, and disposal activities",,0.0003068769493981903,,0.00013181738572171753,10,66,20.549530267715454,110,0.1910780517772595,0.1606029298204893,0.06898614701984591,2,NGhighpressureGB
"Electricity, gas, steam and air conditioning supply",,0.0009756459108222743,,0.0003553393210342157,10,205,32.23270583152771,190,0.011734584437500159,8.314277476281196,3.028137237639702,93,Windelectricitylessthan1MWonshore
Manufacture of other non-metallic mineral products,,0.00024166181885261012,,0.00020279193987835566,10,205,32.23270583152771,190,0.011734584437500159,2.0593981843986953,1.7281561265202914,24,Windelectricitylessthan1MWonshore
Manufacture of basic metals,,0.0017336518206370645,,0.0007831628686652889,10,205,32.23270583152771,190,0.011734584437500159,14.773866342440224,6.673971906176233,15,Windelectricitylessthan1MWonshore
Manufacture of coke and refined petroleum products,,0.00022379948563676827,,8.552679852895523e-05,10,205,32.23270583152771,190,0.011734584437500159,1.907178620842961,0.7288438630654669,14,Windelectricitylessthan1MWonshore
Mining of coal and lignite,,0.00012088368112615434,,0.00010878845290275816,10,205,32.23270583152771,190,0.011734584437500159,1.0301488030530244,0.9270754621280272,11,Windelectricitylessthan1MWonshore
Land transport and transport via pipelines,,0.0003278756176739223,,0.00013293978012890898,10,205,32.23270583152771,190,0.011734584437500159,2.7940965393382973,1.1328886918574972,11,Windelectricitylessthan1MWonshore
"Waste collection, treatment, and disposal activities",,0.00010667522205465483,,3.662389671449548e-05,10,205,32.23270583152771,190,0.011734584437500159,0.9090668921666566,0.31210220446713616,10,Windelectricitylessthan1MWonshore
"Wholesale trade, except of motor vehicles and motorcycles",,0.00013360879394206548,,6.458395579022821e-05,10,205,32.23270583152771,190,0.011734584437500159,1.1385899062185147,0.5503727561398558,5,Windelectricitylessthan1MWonshore
Manufacture of chemicals and chemical products,,0.00021421174193758582,,0.000110562990725191,10,205,32.23270583152771,190,0.011734584437500159,1.825473608192126,0.9421977515613195,4,Windelectricitylessthan1MWonshore
Civil engineering,,1.1111484328723805e-05,,9.893549807137064e-06,10,205,32.23270583152771,190,0.011734584437500159,0.09469005389926621,0.08431103683160941,4,Windelectricitylessthan1MWonshore
Mining of metal ores,,0.0001221896738969439,,9.974277032134512e-05,10,205,32.23270583152771,190,0.011734584437500159,1.0412782365472006,0.8499897959965041,3,Windelectricitylessthan1MWonshore
Manufacture of wood and products of wood and cork,,8.191017492856178e-07,,5.717682194006447e-07,10,205,32.23270583152771,190,0.011734584437500159,0.006980236527746292,0.004872505050740847,3,Windelectricitylessthan1MWonshore
Specialized construction activities,1.1084759965248464e-07,1.1085054153689433e-07,3.454996997076582e-07,2.0858833751382548e-07,10,205,32.23270583152771,190,0.011734584437500159,0.0009446482074188308,0.001777551975741388,2,Windelectricitylessthan1MWonshore
Construction of buildings,,1.0698166778665487e-06,,5.4490725781014e-07,10,205,32.23270583152771,190,0.011734584437500159,0.009116783671075223,0.004643600808468192,2,Windelectricitylessthan1MWonshore
Other mining and quarrying,,1.79422086257805e-05,,8.856978505690713e-06,10,205,32.23270583152771,190,0.011734584437500159,0.15290024731035778,0.07547756422789466,1,Windelectricitylessthan1MWonshore
Water transport,-3.667061002788209e-06,3.667061002788209e-06,1.0643178551495074e-06,6.285428264797313e-07,10,205,32.23270583152771,190,0.011734584437500159,0.031250028685032925,0.005356327953728807,1,Windelectricitylessthan1MWonshore
Manufacture of rubber and plastic products,,9.121020451281028e-05,,3.0829584299692925e-05,10,205,32.23270583152771,190,0.011734584437500159,0.777276817927444,0.2627241251183209,1,Windelectricitylessthan1MWonshore
