names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for steel, unalloyed' (kilogram, GLO, None)",0.006126023876675069,0.00634115633332244,0.0072078931212947684,0.003786881905970634,10,98,163.90547251701355,610,21.88585854558912,0.028973760933863103,0.017302871158023835
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",,0.002827788646435181,,0.0011833087502891874,10,98,163.90547251701355,610,21.88585854558912,0.01292062013717572,0.005406727580845448
"'market for aluminium, primary, liquid' (kilogram, GLO, None)",,7.497730214300283,,4.069106486512419,10,98,163.90547251701355,610,21.88585854558912,34.258332606336694,18.59240055872749
"'market for ferronickel' (kilogram, GLO, None)",-0.0008554021780540433,0.0008554021780540433,0.000413009056171282,0.0002563378849798065,10,98,163.90547251701355,610,21.88585854558912,0.003908469828918095,0.0011712489343099993
"'market group for electricity, medium voltage' (kilowatt hour, RER, None)",-0.02743902641907279,0.02743902641907279,0.004036648009990202,0.002104176670105826,10,98,163.90547251701355,610,21.88585854558912,0.12537331520221698,0.009614320890006401
"'market for electricity, high voltage' (kilowatt hour, ID, None)",,0.0058934779541931276,,0.0034151451940819546,10,98,163.90547251701355,610,21.88585854558912,0.026928246574914008,0.01560434646403325
"'market for electricity, high voltage' (kilowatt hour, ZA, None)",,0.007167620856926593,,0.002915497208007324,10,98,163.90547251701355,610,21.88585854558912,0.03275000997560206,0.01332137463071977
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",-0.014682120283032507,0.014682120283032507,0.029066980671800424,0.018134040356297038,10,98,163.90547251701355,610,21.88585854558912,0.06708496380184978,0.08285734059060607
"'market for aluminium, primary, ingot' (kilogram, RoW, None)",,0.005307723020782485,,0.007244760356457922,10,98,163.90547251701355,610,21.88585854558912,0.024251838280533,0.033102472728528315
"'market for aluminium oxide, metallurgical' (kilogram, RoW, None)",,1.5536080556819507,,0.7087600652913653,10,98,163.90547251701355,610,21.88585854558912,7.098684533877083,3.2384384821595633
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.0014379902163885246,,0.0009025089259630859,10,98,163.90547251701355,610,21.88585854558912,0.006570408071463743,0.004123708119940206
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",,0.002895286701669363,,0.0014126695830157015,10,98,163.90547251701355,610,21.88585854558912,0.013229029583821742,0.006454714034055617
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.017993043105694117,,0.008200712143112557,10,98,163.90547251701355,610,21.88585854558912,0.08221310152495909,0.037470369855631416
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",,0.004530947026838786,,0.003734624424174116,10,98,163.90547251701355,610,21.88585854558912,0.020702624104970074,0.017064098337265333
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, IAI Area, Gulf Cooperation Council, None)",-0.0959360334719365,0.0959360334719365,0.14159209510782456,0.08295033862456413,10,98,163.90547251701355,610,21.88585854558912,0.43834713302243955,0.37901340928332905
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.004115969187005494,,0.003139330239231379,10,98,163.90547251701355,610,21.88585854558912,0.018806523757940615,0.014344103671747804
"'market for aluminium, wrought alloy' (kilogram, GLO, None)",,0.026338570623709902,,0.012559208767640564,10,98,163.90547251701355,610,21.88585854558912,0.12034515606890908,0.05738504039710953
"'market for electricity, high voltage' (kilowatt hour, KR, None)",,0.0031053698342612614,,0.0029572474927042113,10,98,163.90547251701355,610,21.88585854558912,0.01418893313137637,0.013512138381705
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.00789452798751542,,0.00393454656451811,10,98,163.90547251701355,610,21.88585854558912,0.03607136531139869,0.01797757468057418
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.0036766956936819194,,0.0027036498146575986,10,98,163.90547251701355,610,21.88585854558912,0.01679941267107806,0.012353409892629015
"'market for electricity, high voltage' (kilowatt hour, JP, None)",,0.006409961318024003,,0.004323312292182841,10,98,163.90547251701355,610,21.88585854558912,0.029288141950985364,0.01975390768051072
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-1.8420195097133312,1.8420195097133312,1.7472743320919013,0.9971608079902758,10,98,163.90547251701355,610,21.88585854558912,8.41648275244186,4.556187758927299
"'market for electricity, high voltage' (kilowatt hour, CN-SWG, None)",,0.008521960015826169,,0.005146904649514651,10,98,163.90547251701355,610,21.88585854558912,0.03893820294083773,0.023517033333617883
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, UN-OCEANIA, None)",6.393281582332352,6.393281582332352,7.644766795937015,4.147548272631492,10,98,163.90547251701355,610,21.88585854558912,29.211929561798502,18.95081366806782
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.005461180126423581,,0.002038390566480309,10,98,163.90547251701355,610,21.88585854558912,0.024953008423442585,0.009313733624999265
"'market for electricity, high voltage' (kilowatt hour, IR, None)",,0.006573257609215233,,0.002425462856657132,10,98,163.90547251701355,610,21.88585854558912,0.03003426891169416,0.011082329037285862
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, RoW, None)",-2.5109521065378546,2.5109521065378546,3.0661984684590573,1.7888996196628673,10,98,163.90547251701355,610,21.88585854558912,11.472943139550322,8.173769449969338
"'market for steel, low-alloyed' (kilogram, GLO, None)",,0.013586536411779315,,0.008222138650712918,10,98,163.90547251701355,610,21.88585854558912,0.0620790652716594,0.03756827100744471
