names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
Manufacture of coke and refined petroleum products,,2.1984157280981518,,0.2694786932320941,400,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2876.3782227039337,9600,54.698955968801435,4.019118261328533,0.49265783680733555,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,16
"Electricity, gas, steam and air conditioning supply",,7.775851153952305,,0.583613317692335,400,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2876.3782227039337,9600,54.698955968801435,14.215721335499358,1.0669551316943044,15,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,16
Land transport and transport via pipelines,,48.55418963715487,,4.3846266592779495,400,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2876.3782227039337,9600,54.698955968801435,88.76620911164859,8.015923853791291,11,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,16
Forestry and logging,,84.50659824055167,,2.299787804434652,400,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2876.3782227039337,9600,54.698955968801435,154.4939875794916,4.204445521311922,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,16
"Wholesale trade, except of motor vehicles and motorcycles",,5.948746949467355,,0.501577853137668,400,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,0,188,2876.3782227039337,9600,54.698955968801435,10.875430516188159,0.9169788421990216,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,16
Manufacture of chemicals and chemical products,,1.20510823981851,,0.0883043975185251,400,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,0,249,2562.516684293747,9200,4.02530883047923,29.938280280348994,2.1937297543456333,144,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,16
"Electricity, gas, steam and air conditioning supply",,0.3531099484611189,,0.027617077847268048,400,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,0,249,2562.516684293747,9200,4.02530883047923,8.772244896774286,0.6860859380069011,15,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,16
Land transport and transport via pipelines,,0.3802932005672912,,0.029182175558911456,400,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,0,249,2562.516684293747,9200,4.02530883047923,9.447553382432416,0.7249673699058066,15,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,16
"Crop and animal production, hunting and related service activities",,2.9172145762261374,,0.13123836535684122,400,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,0,249,2562.516684293747,9200,4.02530883047923,72.4718201529603,3.260330346906991,2,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,16
Land transport and transport via pipelines,,98.1635822364701,,7.799041473879344,400,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,1820.2201960086823,6400,403.58401439610225,24.32296095358383,1.932445586465891,11,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,16
Manufacture of chemicals and chemical products,,20.249178676716614,,1.3889182718258706,400,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,0,110,1820.2201960086823,6400,403.58401439610225,5.017339129999044,0.34414600734475587,2,_market_for_concrete__25_30MPa___cubic_meter__IN__None_,16
Land transport and transport via pipelines,,20.411591992518616,,1.5337733264521631,400,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,0,48,1420.5736997127533,5200,260.59891945460754,7.832569695698225,0.5885570552871474,14,_market_for_wood_wool_boards__cement_bonded___cubic_meter__RoW__None_,16
