names,mu_star,mu_star_conf,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for methyl tert-butyl ether' (kilogram, GLO, None)",4.5513409640429716e-06,4.274911554700338e-12,1.7618226104288375,0.00025833139710558885,2.4264142879059775e-10
"'market group for electricity, low voltage' (kilowatt hour, GLO, None)",0.0878479971874476,0.026521810181743186,1.7618226104288375,4.986199897052343,1.5053621190210307
"'market for electricity, high voltage' (kilowatt hour, HK, None)",0.0023312394356462597,0.0005651576497352676,1.7618226104288375,0.1323197591997541,0.03207801094105071
"'market for electricity, high voltage' (kilowatt hour, BR-Southern grid, None)",0.0006744821489957475,0.0002135859788065487,1.7618226104288375,0.038283204279662114,0.01212301269959072
"'market for electricity, low voltage' (kilowatt hour, AE, None)",0.00019467730817634976,5.963278807162584e-05,1.7618226104288375,0.011049767838373026,0.0033847214650691133
"'market for electricity, low voltage' (kilowatt hour, TR, None)",0.0008051663787737029,0.0002461248156036765,1.7618226104288375,0.04570076317602263,0.013969897658639333
"'market for electricity, high voltage' (kilowatt hour, IL, None)",0.0010108173981868917,0.0004056698294342364,1.7618226104288375,0.057373392315634604,0.023025577435147916
"'market for electricity, medium voltage' (kilowatt hour, US-SERC, None)",0.001346913830801788,3.769908312948359e-08,1.7618226104288375,0.0764500252652531,2.139777461495254e-06
"'market for chemical factory' (kilogram, GLO, None)",0.0007887665825855761,5.970179364547116e-09,1.7618226104288375,0.04476992053096571,3.3886381802614853e-07
"'market for transport, freight train' (ton kilometer, RoW, None)",0.008361797227676559,0.0013091216338664289,1.7618226104288375,0.4746106207390113,0.07430496271970204
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",0.00024172027089497394,8.531495325325386e-05,1.7618226104288375,0.013719898329386174,0.004842425834941902
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",0.0012166154625538942,0.0006468296799050978,1.7618226104288375,0.06905436763907594,0.03671366663569244
"'market for electricity, low voltage' (kilowatt hour, US-MRO, None)",0.0008342747120890781,0.00035831802316878253,1.7618226104288375,0.047352934804600504,0.020337917168719157
"'market for sodium hydroxide, without water, in 50% solution state' (kilogram, GLO, None)",0.001391780817389665,0.0006011016616492266,1.7618226104288375,0.07899664864959917,0.03411817160769182
"'market for chemical, organic' (kilogram, GLO, None)",2.4070080126900204,0.8854883217223244,1.7618226104288375,136.6203384178468,50.25978872565335
"'market for hard coal' (kilogram, RNA, None)",0.021239853343029358,0.005446497427778338,1.7618226104288375,1.2055614008642708,0.30913994380243703
"'market for road' (meter-year, GLO, None)",0.001170019729140459,1.2101262056591896e-06,1.7618226104288375,0.06640962161654115,6.868604129019766e-05
"'market for electricity, low voltage' (kilowatt hour, DE, None)",0.0001307098549887753,4.34695970927284e-05,1.7618226104288375,0.00741901336803481,0.0024673083904938452
"'market for electricity, low voltage' (kilowatt hour, BR-South-eastern/Mid-western grid, None)",0.0004867012588380515,4.2826104971447836e-09,1.7618226104288375,0.027624873012589257,2.430784161693993e-07
"'market for natural gas, high pressure' (cubic meter, MX, None)",0.00021508270026524557,8.171545227239189e-05,1.7618226104288375,0.01220796571641757,0.004638120307270996
"'market for electricity, low voltage' (kilowatt hour, AU, None)",0.032619946494784016,0.00982954381641705,1.7618226104288375,1.851488697085352,0.5579190412378965
"'market for electricity, low voltage' (kilowatt hour, PK, None)",0.0006271445398436049,0.0002869648986088672,1.7618226104288375,0.035596349832912766,0.016287956398687513
"'market for acetic acid, without water, in 98% solution state' (kilogram, GLO, None)",0.0032291480909130365,0.0009827397582616946,1.7618226104288375,0.18328451864555445,0.05577972222881679
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",0.00011497377397260414,4.9447765255845064e-05,1.7618226104288375,0.006525842800065944,0.0028066256479594843
"'market for electricity, low voltage' (kilowatt hour, KZ, None)",0.0007095997876443329,0.0003739106501778823,1.7618226104288375,0.04027646049289901,0.021222945372852853
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",0.0026693971595209034,0.0011273382382886504,1.7618226104288375,0.15151338981119994,0.06398704566597939
"'market for tap water' (kilogram, IN, None)",0.0011284609091188002,0.00040968212974330055,1.7618226104288375,0.06405076779234468,0.02325331320634951
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",0.0002015737518731965,6.78342366230611e-05,1.7618226104288375,0.011441205867152101,0.0038502307906327676
"'market for wood chips, dry, measured as dry mass' (kilogram, RoW, None)",0.00047454407919860213,0.00029483634229183505,1.7618226104288375,0.026934838751053118,0.01673473484484742
"'market for natural gas, high pressure' (cubic meter, AE, None)",4.4186598003270736e-05,4.4927865025989e-10,1.7618226104288375,0.0025080049343058136,2.550078808164081e-08
"'market for electricity, low voltage' (kilowatt hour, CN-ECGC, None)",1.9329617213448276e-05,1.3720583108061237e-05,1.7618226104288375,0.001097137538082982,0.000778772109453265
"'market group for electricity, low voltage' (kilowatt hour, Europe without Switzerland, None)",0.006528821049891413,0.0024970684647987267,1.7618226104288375,0.3705719867167706,0.14173211593594695
"'market for electricity, low voltage' (kilowatt hour, ID, None)",0.0010587769071768616,0.00019510383711020572,1.7618226104288375,0.060095545426060194,0.011073977366127476
"'market for electricity, low voltage' (kilowatt hour, US-SERC, None)",0.0010883174313937038,0.0002696703481971753,1.7618226104288375,0.06177224795229534,0.015306328037845764
"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)",0.0009623738680522239,0.0002570211584929137,1.7618226104288375,0.05462376645387567,0.01458836757863797
