names,mu_star,score,mu_star_local_relative
Construction of buildings,0.0,0.04628022514630184,0.0
Civil engineering,0.0,0.04796954661390875,0.0
Manufacture of wood and products of wood and cork,0.16472272002277824,0.12699306311180963,129.7100140641146
Manufacture of coke and refined petroleum products,0.001624488219951363,0.047172258127923306,3.443736391728421
Manufacture of basic metals,0.001455971995879714,0.045223444469072296,3.219507078624746
Land transport and transport via pipelines,0.013328376131219852,0.04986358320046207,26.729679809886473
"Wholesale trade, except of motor vehicles and motorcycles",0.0006818775051248621,0.0441254508348628,1.5453156675424193
Forestry and logging,0.0,0.04369377612652016,0.0
Mining of coal and lignite,0.0012373756951979797,0.04352724378840177,2.8427614236573597
Manufacture of machinery and equipment,0.0,0.04413069922575157,0.0
"Electricity, gas, steam and air conditioning supply",0.00650382304618325,0.06798068087319425,9.567163733347952
