names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
"Waste collection, treatment, and disposal activities",,0.010696589928984606,,0.0012271266418329592,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,0.26544575218388106,0.030452280271451984,1,_market_for_ascorbic_acid___kilogram__GLO__None_,12
"Wholesale trade, except of motor vehicles and motorcycles",,0.027203196751317084,,0.0023559074038865357,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,0.6750724362997935,0.05846401676161105,1,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Unknown,,0.5266666165686225,,0.06050592151587892,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,13.069718210509038,1.5015102901945105,1,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Water transport,-4.6987757760199216e-05,7.459498963399998e-05,0.00010757933597348918,9.68358910864022e-06,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,0.0018511435199447322,0.00024030720181367635,1,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Sewerage,2.109881940038009e-05,2.109881940038009e-05,1.6448451100239308e-05,1.9297887836058346e-06,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,0.0005235866779140334,4.788948988613742e-05,1,_market_for_ascorbic_acid___kilogram__GLO__None_,12
Manufacture of electrical equipment,-7.365051963056276e-05,7.52158319666039e-05,6.755488052319017e-05,7.822044679724905e-06,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,0.0018665502954741077,0.0001941112585796399,1,_market_for_ascorbic_acid___kilogram__GLO__None_,12
"Manufacture of motor vehicles, trailers, and semi-trailers",0.00029845302072521154,0.00030713523280032887,0.00024239141460037663,2.8305926908530382e-05,300,_market_for_ascorbic_acid___kilogram__GLO__None_,0,304,2149.507286787033,8100,4.029670786208251,0.0076218442918839545,0.0007024377029857831,1,_market_for_ascorbic_acid___kilogram__GLO__None_,12
"Electricity, gas, steam and air conditioning supply",,0.008763627353447488,,0.0008529280742642606,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,2.6430056253340966,0.25723294788418993,120,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Manufacture of coke and refined petroleum products,,0.004397927044306226,,0.0005892906585922842,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,1.3263624124019484,0.17772304352986254,21,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Land transport and transport via pipelines,,0.010018261545069337,,0.0008508299986960692,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,3.0213883534505057,0.25660019328321704,19,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Manufacture of basic metals,,0.002860118240398439,,0.0002515291452398183,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.8625775941419973,0.07585819421484148,15,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
Manufacture of rubber and plastic products,,9.706852594072992e-05,,1.1670497002842759e-05,300,_market_for_iceberg_lettuce___kilogram__GLO__None_,0,247,1631.7908945083618,6900,0.3315780817658947,0.029274711230540134,0.0035196828875687035,14,_market_for_iceberg_lettuce___kilogram__GLO__None_,12
