names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.041738831,,0.008526143,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,1.454158899,0.297046338,
"'market for electricity, high voltage' (kilowatt hour, ZA, None)",,0.037870574,,0.008552692,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,1.319390836,0.297971293,
"'market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,0.03238082,,0.005986184,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,1.128130707,0.20855549,
"'market group for heat, district or industrial, natural gas' (megajoule, RER, None)",-0.030586669,0.031151906,0.025856193,0.002910092,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,1.085316,0.101386057,
"'market group for transport, freight, light commercial vehicle' (ton kilometer, GLO, None)",,0.029650251,,0.001281719,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,1.032999118,0.044654428,
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.029455057,,0.007459091,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,1.026198657,0.2598708,
"'market for electricity, medium voltage' (kilowatt hour, CZ, None)",-0.024447952,0.024447952,0.049378701,0.005238958,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.851753784,0.182522552,
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.022454045,,0.004211181,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.782287113,0.146715325,
"'market for electricity, medium voltage' (kilowatt hour, BG, None)",0.022375296,0.022375296,0.054012442,0.005940719,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.779543536,0.206971525,
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",,0.020920951,,0.002073357,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.728874929,0.072234654,
"'market for electricity, medium voltage' (kilowatt hour, TW, None)",0.020665357,0.020665357,0.049992785,0.005205887,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.719970168,0.181370376,
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.020527124,0.020527124,0.046028406,0.005293218,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.715154194,0.184412932,
"'market for electricity, high voltage' (kilowatt hour, ID, None)",,0.019853991,,0.00383552,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.691702596,0.133627492,
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,0.019698609,,0.002546191,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.686289176,0.08870794,
"'market group for electricity, medium voltage' (kilowatt hour, Canada without Quebec, None)",,0.019134558,,0.003087452,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.666637928,0.107565218,
"'market for electricity, high voltage' (kilowatt hour, DE, None)",,0.018902189,,0.003111914,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.658542318,0.108417445,
