names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category,
"'market for electricity, high voltage' (kilowatt hour, AE, None)",,0.00128292,,0.000225758,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.031557656,0.005553264,,
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,0.001236578,,0.00019118,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.030417721,0.004702704,,
"'market for electricity, high voltage' (kilowatt hour, KW, None)",,0.001212612,,0.000236443,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.029828198,0.005816097,,
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.001201842,,0.00023163,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.029563274,0.005697705,,
"'market for phosphoric acid, fertiliser grade, without water, in 70% solution state' (kilogram, RoW, None)",,0.001127262,,8.87E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.027728733,0.00218187,,
"'market for electricity, medium voltage' (kilowatt hour, ES, None)",-0.001124973,0.001124973,0.001153279,0.000138968,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.027672427,0.003418377,,
"'market for tractor, 4-wheel, agricultural' (kilogram, GLO, None)",-0.001081993,0.001081993,0.000350966,3.77E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.026615192,0.000927356,,
"'market group for diesel' (kilogram, GLO, None)",,0.001063228,,9.43E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.026153605,0.00231962,,
"'market for chemical factory, organics' (unit, GLO, None)",-0.001012167,0.001032778,0.000958949,0.000101812,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.025404587,0.002504402,,
"'market for chemical factory' (kilogram, GLO, None)",0.000965784,0.000984466,0.000955729,0.000109392,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.024216194,0.002690858,,
"'market for aluminium, primary, ingot' (kilogram, RoW, None)",,0.000981348,,0.000109678,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.024139496,0.002697893,,
"'market group for heat, district or industrial, natural gas' (megajoule, GLO, None)",,0.000943314,,6.91E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.023203924,0.001699743,,
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",,0.000935515,,0.000147471,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.023012082,0.003627536,,
"'market group for concrete, normal strength' (cubic meter, GLO, None)",,0.000931465,,8.89E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.022912459,0.002186789,,
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",,0.000887575,,0.000170546,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.021832839,0.004195142,,
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.000848431,,0.000203618,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.020869963,0.005008657,,
"'market group for diesel, low-sulfur' (kilogram, RER, None)",-0.000737127,0.000774253,0.000911155,0.000108657,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.01904531,0.002672778,,
"'market for chlorine, liquid' (kilogram, RoW, None)",,0.000763055,,7.48E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.018769859,0.001839953,,
"'market for ammonia, anhydrous, liquid' (kilogram, CN, None)",-0.000758639,0.000758639,0.000292089,3.49E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.018661232,0.000858481,,
"'market for synthetic rubber' (kilogram, GLO, None)",-0.000713946,0.000722016,0.000416342,3.73E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.017760369,0.000917517,,
"'market for hard coal' (kilogram, IN, None)",,0.000718453,,6.63E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.017672725,0.001630868,,
"'market for pitch' (kilogram, RoW, None)",0.00071753,0.00071753,0.00043101,5.02E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.017650021,0.001234835,,
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",,0.000685075,,0.000200366,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.016851683,0.004928664,,
"'market for coke' (megajoule, GLO, None)",,0.000660655,,6.41E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.016250992,0.001576751,,
"'market for bitumen adhesive compound, hot' (kilogram, GLO, None)",-0.000361912,0.000658172,0.000769843,5.18E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.016189915,0.001274192,,
"'cement, all types to generic market for cement, unspecified' (kilogram, RoW, None)",,0.000656157,,5.94E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.016140349,0.001461139,,
"'aluminium ingot, primary, to aluminium, wrought alloy market' (kilogram, GLO, None)",,0.000642569,,0.00013296,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.015806107,0.00327059,,
"'concrete, all types to generic market for concrete, normal strength' (cubic meter, RoW, None)",,0.000623294,,4.05E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.015331975,0.000996231,,
"'market for aluminium oxide, metallurgical' (kilogram, RoW, None)",,0.0006063,,7.99E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.014913951,0.001965404,,
"'market for agricultural machinery, unspecified' (kilogram, GLO, None)",0.000543457,0.000543457,0.000174405,2.16E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.01336812,0.000531323,,
"'market for agricultural machinery, tillage' (kilogram, GLO, None)",-0.00053857,0.00053857,0.000143347,1.78E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.013247908,0.00043785,,
"'market for maintenance, lorry 28 metric ton' (unit, GLO, None)",-0.000526325,0.000526325,0.000277696,3.11E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.012946702,0.000765007,,
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",0.000401391,0.000504712,0.001460681,0.000152727,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.012415059,0.003756825,,
"'market group for cement, unspecified' (kilogram, GLO, None)",,0.000503305,,5.94E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.012380449,0.001461139,,
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",,0.000493609,,2.82E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.012141944,0.000693672,,
"'market for wood chips, dry, measured as dry mass' (kilogram, RoW, None)",,0.000489926,,4.76E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.012051348,0.001170879,,
"'market for shed' (square meter, GLO, None)",0.000441466,0.000443013,0.000163633,2.19E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.010897368,0.000538703,,
"'market for ferronickel' (kilogram, GLO, None)",-0.000419569,0.000433401,0.000428512,5.10E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.010660929,0.001254513,,
"'market for liquid manure tank trailer' (kilogram, GLO, None)",0.000403909,0.000403909,7.81E-05,8.21E-06,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.009935476,0.000201952,,
"'market for natural gas, liquefied' (cubic meter, GLO, None)",,0.000381269,,3.58E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.009378571,0.000880619,,
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.000377622,0.000377622,0.000760767,7.64E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.009288861,0.00187931,,
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",,0.000377251,,6.52E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.009279735,0.001603809,,
"'market for lime, hydrated, loose weight' (kilogram, RoW, None)",0.000356163,0.000356163,0.000146048,1.73E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.008761006,0.000425551,,
"'market for steel, chromium steel 18/8' (kilogram, GLO, None)",0.00035039,0.000353196,0.000199024,2.25E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.008688022,0.000553462,,
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,0.000352518,,3.12E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.008671345,0.000767467,,
"'market for maintenance, lorry 40 metric ton' (unit, GLO, None)",0.000340485,0.000340485,0.0001049,1.42E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.008375353,0.000349296,,
"'market for natural gas, high pressure' (cubic meter, RU, None)",-0.00033485,0.00033485,0.000466705,5.33E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.008236742,0.00131109,,
"'market for hard coal' (kilogram, RNA, None)",,0.000334688,,3.93E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.008232757,0.000966713,,
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",,0.000269127,,3.85E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.006620068,0.000947035,,
"'market for concrete, 25MPa' (cubic meter, RoW, None)",,0.000217017,,2.17E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.00533825,0.000533783,,
"'market for aluminium hydroxide' (kilogram, GLO, None)",,0.000213563,,3.47E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.005253288,0.000853561,,
"'market for hot rolling, steel' (kilogram, GLO, None)",-0.000208669,0.000208669,0.000131967,1.55E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.005132903,0.000381274,,
"'market for clinker' (kilogram, RoW, None)",0.000178744,0.000178744,9.69E-05,9.91E-06,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.004396799,0.000243769,,
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-0.000132903,0.000166675,0.000178808,1.85E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.004099922,0.000455069,,
"'market for natural gas, high pressure' (cubic meter, CN, None)",-0.000104105,0.000104105,4.24E-05,4.68E-06,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.002560806,0.00011512,,
"'market for building, hall, steel construction' (square meter, GLO, None)",-9.37E-05,9.39E-05,5.02E-05,5.45E-06,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.002309781,0.000134061,,
"'market for diesel' (kilogram, IN, None)",-3.15E-05,8.70E-05,0.000138989,1.36E-05,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.002140052,0.000334537,,
"'market for steel, low-alloyed, hot rolled' (kilogram, GLO, None)",6.71E-05,6.71E-05,5.21E-05,5.40E-06,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.001650546,0.000132831,,
"'market for salt tailing from potash mine' (kilogram, GLO, None)",-4.99E-05,6.51E-05,7.16E-05,7.55E-06,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.00160135,0.000185717,,
"'market for building, multi-storey' (cubic meter, GLO, None)",-5.32E-05,6.21E-05,5.93E-05,5.83E-06,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.001527555,0.000143408,,
"'market for natural gas, high pressure' (cubic meter, IR, None)",-5.87E-05,5.87E-05,2.65E-05,3.03E-06,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.00144392,7.45E-05,,
"'market for copper, anode' (kilogram, GLO, None)",,4.75E-05,,9.23E-06,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.001168419,0.000227042,,
"'market for steel, chromium steel 18/8, hot rolled' (kilogram, GLO, None)",2.63E-05,2.63E-05,2.05E-05,2.48E-06,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.000646935,6.10E-05,,
"'market for electronics, for control units' (kilogram, GLO, None)",-1.05E-05,1.06E-05,5.80E-06,5.86E-07,300,_soybean_oil_refinery_operation___kilogram__US__None_,192,15754.07597,57900,4.065320996,0.000260742,1.44E-05,,
