names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
"Waste collection, treatment, and disposal activities",,5.936461201125893,,3.8607870745223223,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6,0,940,108.69900345802307,330,54.698955968801435,10.85296985286495,7.058246370779716,380,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6
"Crop and animal production, hunting and related service activities",,0.45400238416014305,,0.2698473473741375,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6,0,940,108.69900345802307,330,54.698955968801435,0.8300019189015083,0.4933318060550369,90,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6
"Electricity, gas, steam and air conditioning supply",,8.104443788666428,,4.9644469019614945,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6,0,940,108.69900345802307,330,54.698955968801435,14.81645059786689,9.075944529531895,88,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6
Manufacture of paper and paper products,,0.005456799091381548,,0.002161893494867674,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6,0,940,108.69900345802307,330,54.698955968801435,0.009976057119799387,0.00395234873605403,50,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6
Manufacture of chemicals and chemical products,,0.9357628151948655,,0.3791952407532917,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6,0,940,108.69900345802307,330,54.698955968801435,1.710750778732587,0.6932403627037649,43,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6
Manufacture of other non-metallic mineral products,,0.12667987885851376,,0.0696681863131344,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6,0,940,108.69900345802307,330,54.698955968801435,0.23159469246683242,0.12736657414973504,42,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6
Manufacture of basic metals,,1.8204303518964253,,0.7072879194259694,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6,0,940,108.69900345802307,330,54.698955968801435,3.3280897590344165,1.2930556112065177,40,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6
Manufacture of coke and refined petroleum products,,1.4665851671756054,,0.7744115594253788,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6,0,940,108.69900345802307,330,54.698955968801435,2.68119407619425,1.4157702751531103,34,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6
Manufacture of wood and products of wood and cork,,0.011143824221942466,,0.0045106369164167786,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6,0,940,108.69900345802307,330,54.698955968801435,0.02037301082729724,0.008246294351558563,32,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6
Mining of metal ores,,0.3652278371933902,,0.22162387370266035,10,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6,0,940,108.69900345802307,330,54.698955968801435,0.6677053167188505,0.40517020805491727,16,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_cutoff5e-6
