names,mu_star,score,mu_star_local_relative
Mining of coal and lignite,0.00010608550247883167,0.06383704561233272,0.16618172326310937
Manufacture of basic metals,7.741327217122493e-05,0.06392078097803144,0.12110814509264309
Land transport and transport via pipelines,0.0002887898888841618,0.06395157815817608,0.4515758597385616
"Electricity, gas, steam and air conditioning supply",1.048522498411572e-05,0.06386575024601153,0.016417602460984997
