names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category,,,
"'market for electricity, high voltage' (kilowatt hour, ZA, None)",,0.302292326,,0.166585768,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.256590106,0.19625698,,,,
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.300531058,,0.051516975,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.255095116,0.060692855,,,,
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.296352828,,0.051504125,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.251548574,0.060677716,,,,
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.262234884,,0.034290309,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.222588769,0.040397884,,,,
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,0.236232433,,0.024490548,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.200517512,0.028852651,,,,
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.233677859,0.233677859,0.160905933,0.01900858,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.198349153,0.022394269,,,,
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.230981008,,0.034734294,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.196060026,0.040920948,,,,
"'market for petroleum' (kilogram, RNA, None)",,0.212613278,,0.019726966,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.180469231,0.023240609,,,,
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",-0.211810542,0.211810542,0.171234722,0.018076608,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.179787857,0.021296301,,,,
"'market group for electricity, high voltage' (kilowatt hour, ENTSO-E, None)",,0.210020473,,0.04915954,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.17826842,0.057915528,,,,
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.199676039,,0.024069308,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.169487915,0.028356383,,,,
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.170573983,0.170573983,0.228482859,0.023355081,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.144785668,0.027514941,,,,
"'market for electricity, high voltage' (kilowatt hour, DE, None)",,0.167211554,,0.022213566,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.14193159,0.026170107,,,,
"'market for electricity, high voltage' (kilowatt hour, AU, None)",,0.150575582,,0.022766717,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.127810736,0.026821782,,,,
"'market for transport, freight train' (ton kilometer, RoW, None)",,0.150317318,,0.010687396,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.127591517,0.012590968,,,,
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.144179433,,0.022492084,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.122381591,0.026498233,,,,
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,0.13173266,,0.027489519,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.111816591,0.032385779,,,,
"'market for electricity, high voltage' (kilowatt hour, FR, None)",,0.130770923,,0.015342794,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.111000254,0.018075557,,,,
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.121260756,0.12456784,0.15398678,0.01796859,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.105734987,0.021169042,,,,
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",0.124331656,0.124331656,0.136142237,0.015266325,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.105534511,0.017985467,,,,
"'market for heat, district or industrial, other than natural gas' (megajoule, Europe without Switzerland, None)",,0.123269075,,0.016497212,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.104632577,0.019435592,,,,
"'market for electricity, high voltage' (kilowatt hour, PL, None)",,0.122062798,,0.019221818,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.103608671,0.022645488,,,,
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.091103691,,0.010254054,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.077330133,0.012080442,,,,
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",0.055026005,0.088499384,0.136145964,0.012292513,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.07511956,0.014481978,,,,
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.086543986,,0.015436194,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.073459789,0.018185592,,,,
"'market for transport, freight train' (ton kilometer, CN, None)",,0.085912356,,0.008923252,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.072923652,0.010512605,,,,
"'market for electricity, high voltage' (kilowatt hour, UA, None)",,0.080115453,,0.011471141,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.068003157,0.013514308,,,,
"'market group for heat, district or industrial, other than natural gas' (megajoule, RER, None)",0.075821665,0.075821665,0.032021556,0.003455548,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.064358528,0.004071029,,,,
