names,mu_star,mu_star_conf,score,mu_star_local_relative,mu_star_local_relative_conf
"'market for electricity, high voltage' (kilowatt hour, HK, None)",0.07075246808393257,0.02060337816337457,30.388252584169592,0.2328283532854082,0.06780047028471672
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",0.05159581992022078,0.0207810223094151,30.388252584169592,0.1697887029776073,0.06838505192707506
"'market for hard coal' (kilogram, RNA, None)",0.1924233174448556,0.04977286419694249,30.388252584169592,0.6332161315030542,0.16378981996112235
"'market for electricity, high voltage' (kilowatt hour, RO, None)",0.030675371595605405,0.008823182321808428,30.388252584169592,0.10094483554340793,0.029034845940449906
"'market for electricity, high voltage' (kilowatt hour, IE, None)",0.020884295539704036,0.005001732701804775,30.388252584169592,0.06872489782641686,0.016459428484579496
"'market for electricity, high voltage' (kilowatt hour, BG, None)",0.029708509529931426,0.01573440071356574,30.388252584169592,0.09776313872488913,0.05177790552446044
"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)",0.011442590099952459,0.00545471394025556,30.388252584169592,0.037654649829761334,0.017950074375441813
"'market group for electricity, medium voltage' (kilowatt hour, RAF, None)",0.03961581690424598,0.013984874321369653,30.388252584169592,0.13036556410908398,0.04602065973564703
"'market for blasting' (kilogram, GLO, None)",2.97815105909649e-11,1.4069238819887244e-11,30.388252584169592,9.800336662490173e-11,4.6298281814389196e-11
"'market for road, company, internal' (square meter-year, GLO, None)",0.013960566607938495,3.334459751799986e-08,30.388252584169592,0.04594066924141302,1.097285782578046e-07
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",0.041861059154683744,7.527945830857782e-07,30.388252584169592,0.13775408453887467,2.4772552518466886e-06
"'market for transport, freight train' (ton kilometer, CN, None)",0.1022038784247096,0.0419067004177883,30.388252584169592,0.3363269346982838,0.1379042783118734
"'market for electricity, high voltage' (kilowatt hour, MY, None)",0.04455134481359763,0.01859795340228268,30.388252584169592,0.1466071294826809,0.06120112813584769
"'market for polystyrene, expandable' (kilogram, GLO, None)",7.61517438814252e-06,3.388477088802643e-13,30.388252584169592,2.505959948519566e-05,1.115061512476644e-12
"'market for natural gas, high pressure' (cubic meter, DE, None)",0.08587701044305492,0.025314422910149553,30.388252584169592,0.2825993702836061,0.08330331874145606
"'market for electricity, high voltage' (kilowatt hour, RU, None)",0.0795610645808033,0.043071100602600804,30.388252584169592,0.2618152009906937,0.14173602277163574
"'market for ammonia, anhydrous, liquid' (kilogram, RER, None)",0.029899999688489488,0.007514071080157322,30.388252584169592,0.09839328406815187,0.02472689424752146
"'market for sheet rolling, steel' (kilogram, GLO, None)",0.5966193083001301,7.538254943295562e-07,30.388252584169592,1.9633221971141968,2.480647718198357e-06
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",0.03550961859737693,0.02427640449787779,30.388252584169592,0.11685311124429462,0.07988746450832221
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",0.10028817056742945,0.0501656404924538,30.388252584169592,0.3300228280308339,0.16508234671771488
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",0.029973487950605622,0.008015702875330129,30.388252584169592,0.09863511522284754,0.026377636730273255
"'market for iron scrap, sorted, pressed' (kilogram, RoW, None)",0.14492020739113814,0.022976604728771447,30.388252584169592,0.47689549436821727,0.07561015450010061
"'market for copper, cathode' (kilogram, GLO, None)",0.09931346254076147,0.038905562993813446,30.388252584169592,0.32681531215288656,0.12802829937671653
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.053986683474147236,1.7470376926324275e-06,30.388252584169592,0.17765642603046866,5.749056112369312e-06
"'market for aluminium, primary, liquid' (kilogram, GLO, None)",0.005694305113092391,0.0020622045249956544,30.388252584169592,0.018738507906370282,0.0067861898912540165
"'market for pitch' (kilogram, RoW, None)",0.009423762925099943,1.4137975974884702e-07,30.388252584169592,0.031011203750521486,4.652447828556525e-07
"'market for electricity, high voltage' (kilowatt hour, PK, None)",0.0453642924643523,0.01655065804991061,30.388252584169592,0.1492823331604934,0.0544640005346424
"'market for electricity, high voltage' (kilowatt hour, AU, None)",0.34712386857402233,0.09523492716218214,30.388252584169592,1.142296246263441,0.3133938909399275
"'concrete, all types to generic market for concrete, medium strength' (cubic meter, RoW, None)",0.0007971369782596938,0.00017820595266923893,30.388252584169592,0.0026231747812802933,0.0005864304048929528
"'market for steel, chromium steel 18/8' (kilogram, GLO, None)",0.0026194281987521606,6.398469444549662e-09,30.388252584169592,0.008619871088332079,2.1055733385218965e-08
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",0.0126231522901426,0.004510580689162551,30.388252584169592,0.04153957933309559,0.014843172297153689
"'market for copper oxide' (kilogram, GLO, None)",0.00031195454792793954,1.551757044291247e-10,30.388252584169592,0.0010265629689100604,5.106437232589073e-10
"'market for electricity, high voltage' (kilowatt hour, IN-Southern grid, None)",0.0264658005203213,0.013949327080311952,30.388252584169592,0.08709220922465398,0.04590368281846747
"'market for electricity, medium voltage' (kilowatt hour, US-RFC, None)",0.054879779135388954,1.809778076650031e-06,30.388252584169592,0.18059537639876647,5.955518737503235e-06
"'market group for electricity, high voltage' (kilowatt hour, RNA, None)",0.007144905231297826,4.34501394670878e-07,30.388252584169592,0.02351206345777145,1.4298334314136459e-06
"'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)",0.23222303998950972,0.10049232908996804,30.388252584169592,0.7641868822377882,0.3306946617335883
