names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market group for heat, district or industrial, natural gas' (megajoule, RER, None)",-0.065454943,0.065601964,0.057835817,0.012127116,100,195,3999.132419,12700,117.8113726,0.055683898,0.010293672
"'market for diesel' (kilogram, BR, None)",-0.311234262,0.311234262,0.455421095,0.086741088,100,195,3999.132419,12700,117.8113726,0.264180151,0.073627092
"'market group for diesel, low-sulfur' (kilogram, RER, None)",-0.937633939,2.036842277,2.902804707,0.4069711,100,195,3999.132419,12700,117.8113726,1.728901236,0.345442966
"'market for waste mineral oil' (kilogram, Europe without Switzerland, None)",,0.33883023,,0.034151919,100,195,3999.132419,12700,117.8113726,0.287604009,0.028988643
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.039073213,,0.006743963,100,195,3999.132419,12700,117.8113726,0.033165909,0.005724373
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.272591961,,0.054602773,100,195,3999.132419,12700,117.8113726,0.231380006,0.046347625
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.665836155,,0.243411489,100,195,3999.132419,12700,117.8113726,0.565171376,0.206611198
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",,0.012866753,,0.003515871,100,195,3999.132419,12700,117.8113726,0.010921487,0.002984322
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,15.97701329,,5.259400052,100,195,3999.132419,12700,117.8113726,13.56152037,4.464254966
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,0.13452186,,0.037995459,100,195,3999.132419,12700,117.8113726,0.114184104,0.032251096
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",0.140313415,0.140313415,0.160435252,0.026266333,100,195,3999.132419,12700,117.8113726,0.11910006,0.022295244
"'market for electricity, high voltage' (kilowatt hour, KR, None)",,0.043397046,,0.016014043,100,195,3999.132419,12700,117.8113726,0.036836042,0.013592951
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.408941834,,0.060078994,100,195,3999.132419,12700,117.8113726,0.347115754,0.050995921
"'market for electricity, high voltage, aluminium industry' (kilowatt hour, CN, None)",-0.471849431,0.471849431,0.239959739,0.046007635,100,195,3999.132419,12700,117.8113726,0.400512634,0.039051947
"'market for heat, central or small-scale, other than natural gas' (megajoule, CH, None)",,0.04267514,,0.012746749,100,195,3999.132419,12700,117.8113726,0.036223277,0.010819625
"'market for petrol, unleaded' (kilogram, BR, None)",-0.016435098,0.016435098,0.016422662,0.003169657,100,195,3999.132419,12700,117.8113726,0.013950349,0.002690451
"'market group for transport, freight train' (ton kilometer, GLO, None)",,0.111005695,,0.018371353,100,195,3999.132419,12700,117.8113726,0.094223243,0.015593871
"'market for heat, district or industrial, natural gas' (megajoule, RoW, None)",,0.042999711,,0.007186674,100,195,3999.132419,12700,117.8113726,0.036498777,0.006100153
"'market for heavy fuel oil' (kilogram, RoW, None)",,0.494440426,,0.056699677,100,195,3999.132419,12700,117.8113726,0.419688197,0.048127507
"'market for petroleum' (kilogram, RoW, None)",,0.743000645,,0.126364011,100,195,3999.132419,12700,117.8113726,0.630669712,0.107259604
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.025374304,,0.008351152,100,195,3999.132419,12700,117.8113726,0.021538077,0.007088579
"'market for natural gas, high pressure' (cubic meter, RU, None)",-0.001780343,0.001780343,0.0014504,0.000267552,100,195,3999.132419,12700,117.8113726,0.001511181,0.000227102
