names,mu,mu_star,sigma,mu_star_conf,reference_product,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.459962352,,0.105554363,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.390422709,0.089596073
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.442871969,,0.084863923,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.375916144,0.072033727
"'market for heavy fuel oil' (kilogram, RoW, None)",,0.42669651,,0.03048604,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.36218618,0.025876992
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,0.417207228,,0.07080387,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.35413154,0.060099351
"'market group for electricity, medium voltage' (kilowatt hour, RAS, None)",,0.396956528,,0.042273003,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.336942452,0.035881937
"'market group for electricity, medium voltage' (kilowatt hour, RNA, None)",0.392296484,0.392296484,0.254166465,0.029328184,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.332986939,0.024894188
"'market for diesel' (kilogram, BR, None)",-0.383012605,0.383012605,0.496584128,0.058112725,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.325106648,0.049326923
"'market group for electricity, medium voltage' (kilowatt hour, US, None)",,0.332683294,,0.038984033,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.2823864,0.033090212
"'market for waste mineral oil' (kilogram, Europe without Switzerland, None)",,0.329444412,,0.020599538,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.27963719,0.017485186
"'market for petrol, unleaded' (kilogram, RoW, None)",,0.316960622,,0.043438331,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.269040768,0.036871085
"'market for biogas' (cubic meter, CH, None)",,0.296720078,,0.06273435,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.251860301,0.053249825
"'market for electricity, high voltage' (kilowatt hour, RU, None)",,0.287902438,,0.040761053,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.244375761,0.034598572
"'market for petroleum' (kilogram, RNA, None)",,0.259057647,,0.023190327,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.219891884,0.019684286
"'market group for electricity, high voltage' (kilowatt hour, ENTSO-E, None)",,0.254005328,,0.062620307,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.215603403,0.053153024
"'market for natural gas, high pressure' (cubic meter, DE, None)",,0.246134009,,0.058158879,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.208922113,0.049366099
"'market for diesel, low-sulfur' (kilogram, RoW, None)",,0.221260225,,0.02250587,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.187808885,0.019103309
"'market for diesel' (kilogram, RoW, None)",,0.209568817,,0.022701261,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.177885048,0.019269159
"'market for petrol, unleaded' (kilogram, RER, None)",0.161758203,0.208657179,0.283998954,0.025962555,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.177111237,0.022037393
"'market for electricity, high voltage' (kilowatt hour, AU, None)",,0.205500165,,0.03963835,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.174431517,0.033645606
"'market for electricity, medium voltage' (kilowatt hour, DE, None)",-0.204077752,0.204077752,0.156291735,0.016851714,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.173224153,0.014303979
"'market for pitch' (kilogram, RoW, None)",0.192613859,0.192613859,0.112963549,0.013855447,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.163493434,0.011760704
"'market for electricity, high voltage' (kilowatt hour, ZA, None)",,0.178037104,,0.076571542,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.151120473,0.064995034
"'market for electricity, medium voltage' (kilowatt hour, PL, None)",0.170868652,0.170868652,0.243212418,0.029327432,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.145035787,0.024893549
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,0.162389815,,0.045053338,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.137838828,0.038241926
"'market for coke' (megajoule, GLO, None)",,0.151034357,,0.012594334,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.128200151,0.010690253
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",,0.148026186,,0.013893491,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.125646771,0.011792996
"'market for transport, freight train' (ton kilometer, RoW, None)",,0.146730751,,0.010432037,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.124547187,0.008854864
"'market group for diesel' (kilogram, RER, None)",0.063685385,0.145100945,0.205583478,0.01846901,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.123163784,0.015676763
"'market for transport, freight train' (ton kilometer, CN, None)",,0.142366228,,0.016514384,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.120842517,0.014017648
"'market for electricity, high voltage' (kilowatt hour, CZ, None)",,0.133154671,,0.026827861,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.113023614,0.022771877
"'market for heat, district or industrial, other than natural gas' (megajoule, Europe without Switzerland, None)",,0.126577448,,0.01750248,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.107440772,0.014856359
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.117309768,0.126142207,0.187864577,0.018403878,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.107071333,0.015621478
"'market for electricity, high voltage' (kilowatt hour, DE, None)",,0.121606247,,0.016939417,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.103221144,0.014378423
"'market for electricity, high voltage' (kilowatt hour, KZ, None)",,0.120476339,,0.016473213,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.102262062,0.013982702
"'market for electricity, high voltage' (kilowatt hour, FR, None)",,0.119370664,,0.014014276,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.101323549,0.011895521
"'market for electricity, medium voltage' (kilowatt hour, IT, None)",0.115309442,0.115309442,0.132438685,0.014303125,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.097876325,0.0121407
"'market group for electricity, medium voltage' (kilowatt hour, RLA, None)",,0.113291161,,0.013954883,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.096163179,0.011845107
