names,mu,mu_star,sigma,mu_star_conf,reference_product,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",,0.010529263,,0.002461234,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.008937391,0.002089131
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",,0.009193959,,0.001243202,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.007803966,0.001055248
"'market group for electricity, high voltage' (kilowatt hour, UCTE, None)",,0.008820268,,0.003531559,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.007486771,0.002997638
"'market for heavy fuel oil, burned in refinery furnace' (megajoule, GLO, None)",0.00080485,0.007886725,0.011330511,0.00096715,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.006694366,0.000820931
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",,0.006327352,,0.00113196,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.005370748,0.000960824
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-0.003206484,0.005451233,0.006534622,0.000515351,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.004627086,0.000437437
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",0.002906031,0.003993319,0.004290348,0.000367849,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.003389587,0.000312236
"'market for pipeline, petroleum' (kilometer, GLO, None)",-0.001506583,0.002899716,0.003801928,0.000300635,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.002461321,0.000255183
"'market for natural gas, high pressure' (cubic meter, RU, None)",-0.001773768,0.001773905,0.001738832,0.000197301,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.001505716,0.000167472
"'market for petrol, unleaded' (kilogram, IN, None)",-0.000774991,0.000876582,0.001351691,0.000142674,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.000744056,0.000121104
