scenario,method,iteration,score,category,runtime,runs
fu,climate change,0,9.030000000447036,500,2.649467945098877,1502
fu,climate change,1,5.050000000745058,500,2.649467945098877,1502
fu,climate change,2,16.666666666666664,500,2.649467945098877,1502
fu,climate change,3,10.0,500,2.649467945098877,1502
fu,climate change,4,10.0,500,2.649467945098877,1502
fu,climate change,5,13.333333333333334,500,2.649467945098877,1502
fu,climate change,6,8.91111111144225,500,2.649467945098877,1502
fu,climate change,7,6.733333334326745,500,2.649467945098877,1502
fu,climate change,8,12.010000000149011,500,2.649467945098877,1502
fu,climate change,9,10.000000000000002,500,2.649467945098877,1502
fu,climate change,10,10.0,500,2.649467945098877,1502
fu,climate change,11,9.224000000357629,500,2.649467945098877,1502
fu,climate change,12,6.040000000596048,500,2.649467945098877,1502
fu,climate change,13,10.0,500,2.649467945098877,1502
fu,climate change,14,0.10000000149011615,500,2.649467945098877,1502
fu,climate change,15,10.0,500,2.649467945098877,1502
fu,climate change,16,10.0,500,2.649467945098877,1502
fu,climate change,17,10.0,500,2.649467945098877,1502
fu,climate change,18,10.033333333830038,500,2.649467945098877,1502
fu,climate change,19,10.033333333830038,500,2.649467945098877,1502
fu,climate change,20,0.10000000149011615,500,2.649467945098877,1502
fu,climate change,21,10.0,500,2.649467945098877,1502
fu,climate change,22,10.0,500,2.649467945098877,1502
fu,climate change,23,10.680000000198683,500,2.649467945098877,1502
fu,climate change,24,12.040000000596049,500,2.649467945098877,1502
fu,climate change,25,20.0,500,2.649467945098877,1502
fu,climate change,26,4.060000000894069,500,2.649467945098877,1502
fu,climate change,27,8.836000000536442,500,2.649467945098877,1502
fu,climate change,28,8.06000000089407,500,2.649467945098877,1502
fu,climate change,29,16.666666666666664,500,2.649467945098877,1502
fu,climate change,30,10.0,500,2.649467945098877,1502
fu,climate change,31,10.0,500,2.649467945098877,1502
fu,climate change,32,9.224000000357629,500,2.649467945098877,1502
fu,climate change,33,6.040000000596048,500,2.649467945098877,1502
fu,climate change,34,10.0,500,2.649467945098877,1502
fu,climate change,35,5.075000001117587,500,2.649467945098877,1502
fu,climate change,36,8.358333333705861,500,2.649467945098877,1502
fu,climate change,37,11.675000000124175,500,2.649467945098877,1502
fu,climate change,38,8.693333333730699,500,2.649467945098877,1502
fu,climate change,39,14.0,500,2.649467945098877,1502
fu,climate change,40,10.0,500,2.649467945098877,1502
fu,climate change,41,10.0,500,2.649467945098877,1502
fu,climate change,42,10.0,500,2.649467945098877,1502
fu,climate change,43,7.8222222228844975,500,2.649467945098877,1502
fu,climate change,44,10.025000000372529,500,2.649467945098877,1502
fu,climate change,45,10.025000000372529,500,2.649467945098877,1502
fu,climate change,46,10.025000000372529,500,2.649467945098877,1502
