names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
"Electricity, gas, steam and air conditioning supply",,9.722076699745132,,2.911124677014767,10,203,53.576406717300415,210,316.2715992983518,3.073964504341695,0.9204508667465222,91,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
Mining of metal ores,,0.09746935626764922,,0.03671597318888453,10,203,53.576406717300415,210,316.2715992983518,0.03081824497801411,0.011609001020116532,22,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
Manufacture of coke and refined petroleum products,,11.898394830788805,,5.989740486090537,10,203,53.576406717300415,210,316.2715992983518,3.7620813431194517,1.893859739343896,18,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
Land transport and transport via pipelines,,39.28124516406008,,18.882414146263454,10,203,53.576406717300415,210,316.2715992983518,12.42009881734733,5.970316079013755,16,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.5928089275185229,,0.19300919202994302,10,203,53.576406717300415,210,316.2715992983518,0.18743666166474282,0.061026406562629615,13,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
Manufacture of basic metals,,2.8201902878114735,,1.0935929449753794,10,203,53.576406717300415,210,316.2715992983518,0.891698873394912,0.3457765247975203,11,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
"Wholesale trade, except of motor vehicles and motorcycles",,5.919916729371496,,2.997065296229722,10,203,53.576406717300415,210,316.2715992983518,1.8717825889219344,0.9476239102337067,6,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
Other mining and quarrying,,9.838341589501525,,2.379564165225978,10,203,53.576406717300415,210,316.2715992983518,3.1107255951302215,0.7523799704131001,5,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
"Manufacture of motor vehicles, trailers, and semi-trailers",0.15570458246731392,0.15686807577925493,0.10469802418905233,0.06403366472118273,10,203,53.576406717300415,210,316.2715992983518,0.049599166073484496,0.02024641632800458,4,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
Manufacture of other non-metallic mineral products,,75.31313252513972,,30.013636493284718,10,203,53.576406717300415,210,316.2715992983518,23.812802885944176,9.48982980446867,3,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
Civil engineering,,1.384499459946204,,0.5983792462769354,10,203,53.576406717300415,210,316.2715992983518,0.43775649252658616,0.18919790699020686,3,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
Extraction of crude petroleum and natural gas,,0.0287175657679029,,0.015822055001965388,10,203,53.576406717300415,210,316.2715992983518,0.009080033057540668,0.005002679670595336,2,_concrete__all_types_to_generic_market_for_concrete__normal_strength___cubic_meter__RoW__None_
