names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
"Electricity, gas, steam and air conditioning supply",,3.651829426,,0.334029217,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,18.11854721,0.067324257,240,_chromium_production___kilogram__RoW__None_,12
Manufacture of chemicals and chemical products,,0.174215467,,0.016446239,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.864369826,0.003314772,29,_chromium_production___kilogram__RoW__None_,12
Land transport and transport via pipelines,,0.137872678,,0.015590776,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.68405512,0.003142352,26,_chromium_production___kilogram__RoW__None_,12
Other mining and quarrying,,0.0409297,,0.003249386,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.203072659,0.00065492,22,_chromium_production___kilogram__RoW__None_,12
Manufacture of other non-metallic mineral products,,0.020855861,,0.002043369,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.103476331,0.000411845,19,_chromium_production___kilogram__RoW__None_,12
Civil engineering,,0.026278821,,0.002195273,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.130382339,0.000442462,19,_chromium_production___kilogram__RoW__None_,12
"Waste collection, treatment, and disposal activities",,0.727803174,,0.077864544,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,3.610994552,0.015693755,16,_chromium_production___kilogram__RoW__None_,12
Mining of metal ores,,0.105382902,,0.007042756,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.52285714,0.001419482,13,_chromium_production___kilogram__RoW__None_,12
Manufacture of basic metals,,5.053032035,,0.406089751,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,25.07061222,0.081848202,7,_chromium_production___kilogram__RoW__None_,12
Manufacture of wood and products of wood and cork,,0.001352993,,0.000162067,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.006712874,3.27E-05,6,_chromium_production___kilogram__RoW__None_,12
Manufacture of food products,0.0004396,0.0004396,0.000660904,7.59E-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.002181074,1.53E-05,6,_chromium_production___kilogram__RoW__None_,12
Mining of coal and lignite,,0.255151925,,0.039362544,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,1.265935963,0.007933599,5,_chromium_production___kilogram__RoW__None_,12
Specialized construction activities,,4.91E-05,,5.08E-06,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.000243504,1.02E-06,5,_chromium_production___kilogram__RoW__None_,12
Manufacture of electrical equipment,,0.004439178,,0.00089972,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.022024978,0.00018134,3,_chromium_production___kilogram__RoW__None_,12
Manufacture of coke and refined petroleum products,,0.033143644,,0.0029967,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.164442151,0.000603991,3,_chromium_production___kilogram__RoW__None_,12
Construction of buildings,,0.001787226,,0.000134109,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.008867321,2.70E-05,2,_chromium_production___kilogram__RoW__None_,12
Manufacture of rubber and plastic products,0.000332361,0.000334632,0.000207968,2.36E-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.001660275,4.75E-06,2,_chromium_production___kilogram__RoW__None_,12
Manufacture of machinery and equipment,,0.000517623,,3.72E-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.002568188,7.50E-06,2,_chromium_production___kilogram__RoW__None_,12
"Wholesale trade, except of motor vehicles and motorcycles",,0.229462409,,0.021890194,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,1.138477458,0.004412012,2,_chromium_production___kilogram__RoW__None_,12
Water transport,2.18E-05,8.95E-05,0.000109145,7.55E-06,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.000444149,1.52E-06,1,_chromium_production___kilogram__RoW__None_,12
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.000690338,,5.22E-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.003425112,1.05E-05,1,_chromium_production___kilogram__RoW__None_,12
Manufacture of other transport equipment,-0.000504496,0.000505409,0.000349203,4.37E-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.002507585,8.81E-06,1,_chromium_production___kilogram__RoW__None_,12
Manufacture of fabricated metal products,0.000221,0.000335766,0.000406737,3.86E-05,300,_chromium_production___kilogram__RoW__None_,0,434,2512.894268,8100,20.1552,0.001665905,7.79E-06,1,_chromium_production___kilogram__RoW__None_,12
