names,mu,mu_star,sigma,mu_star_conf
"'market for chemical, organic' (kilogram, GLO, None)",,11.655344633041281,,7.817511057523426
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,3.427625071367139,,3.598146201325958
"'market for concrete, 20MPa' (cubic meter, RoW, None)",-4.816146968415692,4.816146968415692,4.070193620530858,2.4060316471370005
"'market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,2.6860316759149057,,1.616881817246262
"'market for synthetic rubber' (kilogram, GLO, None)",-0.21286376462459203,0.21286376462459203,0.04462888626154665,0.02820158981787201
"'market group for transport, freight, light commercial vehicle' (ton kilometer, RER, None)",-0.12430684065381996,0.12430684065381996,0.07392916147952025,0.04559346609085069
"'market for styrene' (kilogram, GLO, None)",-0.0009725736947800101,0.0009725736947800101,0.000844078441709316,0.0005217519067527578
"'market for alkylbenzene sulfonate, linear, petrochemical' (kilogram, GLO, None)",0.007925404971565797,0.007925404971565797,0.012341135956671937,0.007089628287542156
"'concrete, all types to generic market for concrete, medium strength' (cubic meter, RoW, None)",,0.0033680548799750907,,0.0021485751461660773
"'transport, freight, lorry, all sizes, EURO4 to generic market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)",,1.6655540039593089,,1.2925927706106892
"'market for ethylene glycol' (kilogram, GLO, None)",0.038435107988712504,0.038435107988712504,0.01795679446775012,0.011525992772303905
"'market for lime, hydrated, loose weight' (kilogram, RoW, None)",0.024252066769265924,0.024252066769265924,0.004863575482627918,0.002936608131532052
"'market for ammonia, anhydrous, liquid' (kilogram, CN, None)",-0.09844078531566965,0.09844078531566965,0.019923521154138358,0.011756649705597663
"'transport, freight, lorry, all sizes, EURO3 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.12516286100717763,,0.09688115653100643
"'market for carbon monoxide' (kilogram, RoW, None)",0.012389417982828378,0.012389417982828378,0.013319724478709648,0.00781651137773366
