names,mu,mu_star,sigma,mu_star_conf,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market for pitch' (kilogram, RoW, None)",0.179759322,0.179759322,0.099928251,0.01240893,250,195,9665.196772,31750,117.8113726,0.152582317,0.01053288
"'market for electricity, medium voltage' (kilowatt hour, ES, None)",-0.060443485,0.060443485,0.061858178,0.008281383,250,195,9665.196772,31750,117.8113726,0.051305306,0.007029358
"'market group for diesel' (kilogram, GLO, None)",,1.366058813,,0.161275871,250,195,9665.196772,31750,117.8113726,1.159530513,0.136893296
"'market for biogas' (cubic meter, CH, None)",,0.27982651,,0.077529732,250,195,9665.196772,31750,117.8113726,0.237520796,0.06580836
"'market for road' (meter-year, GLO, None)",-2.132483036,2.132483036,1.090796702,0.145850741,250,195,9665.196772,31750,117.8113726,1.810082498,0.123800222
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.017944965,,0.002808809,250,195,9665.196772,31750,117.8113726,0.015231946,0.002384158
"'market for electricity, high voltage' (kilowatt hour, PL, None)",,0.104031104,,0.023555517,250,195,9665.196772,31750,117.8113726,0.088303108,0.019994264
"'market for petroleum' (kilogram, CH, None)",,2.627292498,,0.454595424,250,195,9665.196772,31750,117.8113726,2.230083938,0.385867183
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",,0.044566182,,0.008117646,250,195,9665.196772,31750,117.8113726,0.037828421,0.006890375
"'market for transport, freight train' (ton kilometer, RoW, None)",,0.151844978,,0.011113368,250,195,9665.196772,31750,117.8113726,0.128888217,0.009433188
"'market for petrol, unleaded' (kilogram, ZA, None)",,0.038730351,,0.006385094,250,195,9665.196772,31750,117.8113726,0.032874883,0.005419761
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",0.046899733,0.105398609,0.143475317,0.012595823,250,195,9665.196772,31750,117.8113726,0.089463866,0.010691517
"'market for transport, freight, lorry, unspecified' (ton kilometer, RoW, None)",,1.148366796,,0.166010571,250,195,9665.196772,31750,117.8113726,0.974750375,0.140912178
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.014178335,,0.002383568,250,195,9665.196772,31750,117.8113726,0.012034776,0.002023207
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",,0.011404412,,0.001690971,250,195,9665.196772,31750,117.8113726,0.00968023,0.00143532
"'market for road maintenance' (meter-year, RER, None)",0.90801487,0.970451797,0.798582048,0.088552344,250,195,9665.196772,31750,117.8113726,0.823733546,0.075164513
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",,0.070382382,,0.006361436,250,195,9665.196772,31750,117.8113726,0.059741585,0.005399679
"'market group for electricity, high voltage' (kilowatt hour, ENTSO-E, None)",,0.234717645,,0.07982078,250,195,9665.196772,31750,117.8113726,0.199231738,0.067753035
"'market for diesel' (kilogram, IN, None)",-0.011433542,0.016694676,0.030111747,0.003175094,250,195,9665.196772,31750,117.8113726,0.014170683,0.002695066
"'market for sawlog and veneer log, softwood, measured as solid wood under bark' (cubic meter, CH, None)",-98.62612555,98.62612555,34.14255273,4.38713096,250,195,9665.196772,31750,117.8113726,83.71528433,3.723860323
"'market for electricity, high voltage' (kilowatt hour, AU, None)",,0.186853238,,0.034393417,250,195,9665.196772,31750,117.8113726,0.158603735,0.029193631
"'market for petrol, unleaded' (kilogram, RoW, None)",,0.363523349,,0.050959478,250,195,9665.196772,31750,117.8113726,0.308563885,0.043255144
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.013840202,,0.001795522,250,195,9665.196772,31750,117.8113726,0.011747764,0.001524065
