scenario,method,iteration,score,category,runtime,runs
fu,climate change,0,19.702108877397272,100,0.7905099391937256,302
fu,climate change,1,11.551750990862743,100,0.7905099391937256,302
fu,climate change,2,15.681327286561796,100,0.7905099391937256,302
fu,climate change,3,1.7842694984576242,100,0.7905099391937256,302
fu,climate change,4,9.934627702061592,100,0.7905099391937256,302
fu,climate change,5,8.926935823466131,100,0.7905099391937256,302
fu,climate change,6,11.551750990862743,100,0.7905099391937256,302
fu,climate change,7,19.70210887739727,100,0.7905099391937256,302
fu,climate change,8,11.551750990862743,100,0.7905099391937256,302
fu,climate change,9,8.926935823466131,100,0.7905099391937256,302
fu,climate change,10,3.2908143545776314,100,0.7905099391937256,302
fu,climate change,11,9.954793862714117,100,0.7905099391937256,302
fu,climate change,12,4.318672393825619,100,0.7905099391937256,302
fu,climate change,13,18.215730181929786,100,0.7905099391937256,302
fu,climate change,14,11.073064116166849,100,0.7905099391937256,302
fu,climate change,15,16.709185267985912,100,0.7905099391937256,302
fu,climate change,16,0.29789074516626846,100,0.7905099391937256,302
fu,climate change,17,3.2908143545776314,100,0.7905099391937256,302
fu,climate change,18,8.926935823466131,100,0.7905099391937256,302
fu,climate change,19,11.551750990862743,100,0.7905099391937256,302
fu,climate change,20,4.318672393825619,100,0.7905099391937256,302
fu,climate change,21,9.954793862714117,100,0.7905099391937256,302
fu,climate change,22,10.065372295395255,100,0.7905099391937256,302
fu,climate change,23,8.926935823466131,100,0.7905099391937256,302
fu,climate change,24,3.2908143545776314,100,0.7905099391937256,302
fu,climate change,25,19.70210887739727,100,0.7905099391937256,302
fu,climate change,26,9.934627702061592,100,0.7905099391937256,302
fu,climate change,27,10.045206134742735,100,0.7905099391937256,302
fu,climate change,28,15.681327286561796,100,0.7905099391937256,302
fu,climate change,29,19.70210887739727,100,0.7905099391937256,302
fu,climate change,30,11.551750990862743,100,0.7905099391937256,302
fu,climate change,31,8.926935823466131,100,0.7905099391937256,302
fu,climate change,32,8.448248948770237,100,0.7905099391937256,302
fu,climate change,33,11.073064116166849,100,0.7905099391937256,302
fu,climate change,34,16.709185267985912,100,0.7905099391937256,302
fu,climate change,35,10.045206134742735,100,0.7905099391937256,302
fu,climate change,36,15.681327286561796,100,0.7905099391937256,302
fu,climate change,37,1.7842694984576242,100,0.7905099391937256,302
fu,climate change,38,4.318672393825619,100,0.7905099391937256,302
fu,climate change,39,9.954793862714117,100,0.7905099391937256,302
fu,climate change,40,10.065372295395255,100,0.7905099391937256,302
fu,climate change,41,1.7842694984576242,100,0.7905099391937256,302
fu,climate change,42,15.681327286561796,100,0.7905099391937256,302
fu,climate change,43,10.045206134742735,100,0.7905099391937256,302
fu,climate change,44,15.681327286561796,100,0.7905099391937256,302
fu,climate change,45,10.045206134742735,100,0.7905099391937256,302
fu,climate change,46,9.934627702061592,100,0.7905099391937256,302
fu,climate change,47,10.065372295395255,100,0.7905099391937256,302
fu,climate change,48,9.954793862714117,100,0.7905099391937256,302
fu,climate change,49,4.318672393825619,100,0.7905099391937256,302
fu,climate change,50,15.681327286561796,100,0.7905099391937256,302
fu,climate change,51,10.045206134742735,100,0.7905099391937256,302
fu,climate change,52,9.934627702061592,100,0.7905099391937256,302
fu,climate change,53,1.7842694984576242,100,0.7905099391937256,302
fu,climate change,54,9.934627702061592,100,0.7905099391937256,302
fu,climate change,55,10.045206134742735,100,0.7905099391937256,302
fu,climate change,56,9.934627702061592,100,0.7905099391937256,302
fu,climate change,57,1.7842694984576242,100,0.7905099391937256,302
fu,climate change,58,15.681327286561796,100,0.7905099391937256,302
