names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,,,reference_product
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.029394348,,0.002949604,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1267.339357,5700,117.8113726,0.024950349,0.002503666,1,_transport__freight__lorry__all_sizes__EURO4_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Waste collection, treatment, and disposal activities",,0.008609631,,0.000637051,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1267.339357,5700,117.8113726,0.00730798,0.000540738,1,_transport__freight__lorry__all_sizes__EURO4_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of coal and lignite,,0.010515558,,0.001131204,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1267.339357,5700,117.8113726,0.008925758,0.000960182,1,_transport__freight__lorry__all_sizes__EURO4_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Construction of buildings,,0.000434077,,6.69E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1267.339357,5700,117.8113726,0.000368451,5.68E-05,1,_transport__freight__lorry__all_sizes__EURO4_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Specialized construction activities,5.92E-05,0.000151121,0.00024553,2.54E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1267.339357,5700,117.8113726,0.000128273,2.16E-05,1,_transport__freight__lorry__all_sizes__EURO4_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of machinery and equipment,0.001097677,0.00111766,0.000696385,7.72E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1267.339357,5700,117.8113726,0.000948686,6.55E-05,1,_transport__freight__lorry__all_sizes__EURO4_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of metal ores,,0.019727873,,0.002021149,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.016745304,0.001715581,73,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of basic metals,,0.208201772,,0.018588248,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.176724681,0.015777975,19,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.237630769,,0.022666331,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.201704439,0.01923951,10,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of electrical equipment,-0.000172052,0.000172338,0.000131967,1.56E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.000146283,1.32E-05,7,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of other non-metallic mineral products,,0.024537932,,0.002391644,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.020828152,0.002030062,7,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of chemicals and chemical products,,0.11713267,,0.012000778,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.099423907,0.010186435,6,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.724976887,,0.076707586,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.615370885,0.06511051,5,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of coke and refined petroleum products,,0.300907621,,0.040454208,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.255414749,0.034338118,4,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Other mining and quarrying,,0.023848009,,0.002885434,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.020242536,0.002449198,4,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Land transport and transport via pipelines,,13.42276783,,1.132893625,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,11.39343981,0.961616523,2,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Civil engineering,,0.33299329,,0.02726147,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.282649529,0.023139931,2,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of rubber and plastic products,,0.007358063,,0.000998741,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.00624563,0.000847746,2,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.028450815,,0.002801969,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.024149464,0.002378352,1,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Waste collection, treatment, and disposal activities",,0.009860912,,0.000750049,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.008370085,0.000636653,1,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of coal and lignite,,0.013674407,,0.00146303,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.011607035,0.001241841,1,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Construction of buildings,,0.000473777,,3.97E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.000402149,3.37E-05,1,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Specialized construction activities,5.01E-05,0.000165733,0.000254165,2.27E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.000140677,1.92E-05,1,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of machinery and equipment,0.001213616,0.001224707,0.00082558,8.27E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,147,1265.685681,5700,117.8113726,0.001039549,7.02E-05,1,_transport__freight__lorry__all_sizes__EURO5_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of metal ores,,0.021338403,,0.003256948,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.018112345,0.002764545,73,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of basic metals,,0.200215221,,0.01972795,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.169945581,0.01674537,19,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.237459341,,0.02866577,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.201558929,0.024331921,10,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of electrical equipment,-0.000157466,0.000158491,0.000114796,1.22E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.000134529,1.04E-05,8,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of other non-metallic mineral products,,0.024877933,,0.002653666,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.02111675,0.00225247,7,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of chemicals and chemical products,,0.11339454,,0.012652412,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.096250929,0.010739551,6,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.730897453,,0.073607567,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.620396348,0.062479169,5,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of coke and refined petroleum products,,0.292206751,,0.049185355,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.248029324,0.041749242,4,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Other mining and quarrying,,0.021031261,,0.002508233,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.017851639,0.002129024,4,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Land transport and transport via pipelines,,13.53138204,,1.056832625,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,11.48563313,0.897054844,2,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Civil engineering,,0.294209708,,0.023912895,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.249729462,0.020297612,2,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of rubber and plastic products,,0.007489093,,0.000932448,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.006356851,0.000791475,2,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.028224703,,0.002729793,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.023957537,0.002317088,1,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Waste collection, treatment, and disposal activities",,0.009617544,,0.000776052,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.008163511,0.000658725,1,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of coal and lignite,,0.014798829,,0.001767427,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.012561461,0.001500218,1,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Construction of buildings,,0.000401605,,3.46E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.000340888,2.94E-05,1,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Specialized construction activities,5.32E-05,0.000164344,0.000263872,2.31E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.000139498,1.96E-05,1,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of machinery and equipment,0.00109181,0.001111527,0.000699702,7.02E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,148,1271.569793,5700,117.8113726,0.00094348,5.96E-05,1,_transport__freight__lorry__all_sizes__EURO6_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of metal ores,,0.016891168,,0.00172919,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.014337468,0.001467761,72,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of basic metals,,0.179293151,,0.014843892,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.152186625,0.012599711,19,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.196325779,,0.01491008,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.166644166,0.012655892,10,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of electrical equipment,-0.000153898,0.000153999,9.17E-05,1.07E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.000130717,9.07E-06,7,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of other non-metallic mineral products,,0.023967368,,0.002307551,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.020343849,0.001958683,7,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of chemicals and chemical products,,0.092705203,,0.009036064,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.078689519,0.007669942,6,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.689738549,,0.070570656,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.585460073,0.059901396,5,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of coke and refined petroleum products,,0.255654273,,0.032524409,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.217003051,0.027607189,4,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Other mining and quarrying,,0.021317277,,0.00219762,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.018094413,0.001865371,4,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Land transport and transport via pipelines,,8.364984254,,0.623746898,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,7.100319833,0.529445404,2,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Civil engineering,,0.294708893,,0.02337704,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.250153179,0.01984277,2,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of rubber and plastic products,,0.005944388,,0.000719068,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.005045683,0.000610355,2,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.029451713,,0.00285524,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.02499904,0.002423569,1,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
"Waste collection, treatment, and disposal activities",,0.008604546,,0.000518024,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.007303663,0.000439706,1,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of coal and lignite,,0.012181652,,0.001306206,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.010339963,0.001108726,1,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Construction of buildings,,0.000441908,,2.94E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.000375098,2.49E-05,1,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Specialized construction activities,4.15E-05,0.000147485,0.00021831,1.64E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.000125188,1.39E-05,1,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Manufacture of machinery and equipment,0.001162779,0.001172315,0.000675542,7.52E-05,300,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,2,146,1236.966108,5700,117.8113726,0.000995078,6.38E-05,1,_transport__freight__lorry__all_sizes__EURO3_to_generic_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_,,,_market_for_transport__freight__lorry__unspecified___ton_kilometer__RER__None_
Mining of metal ores,,0.001766859,,0.000206959,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.001499735,0.00017567,38,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
Manufacture of basic metals,,0.053139037,,0.004080073,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.045105184,0.003463225,8,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
"Electricity, gas, steam and air conditioning supply",,0.021736684,,0.001657581,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.018450412,0.001406979,6,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
Manufacture of chemicals and chemical products,,0.002034402,,0.000135826,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.00172683,0.000115291,5,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.139357258,,0.013107185,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.11828846,0.011125568,3,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
Manufacture of coke and refined petroleum products,,0.133563651,,0.011489037,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.113370762,0.009752061,3,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
Land transport and transport via pipelines,,0.006137479,,0.000694872,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.005209581,0.000589818,2,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
Manufacture of other non-metallic mineral products,,0.000418508,,3.60E-05,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.000355236,3.06E-05,2,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
"Waste collection, treatment, and disposal activities",,0.02735675,,0.002161337,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.023220806,0.001834574,2,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
Civil engineering,,0.000657367,,2.99E-05,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.000557983,2.54E-05,2,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
Mining of coal and lignite,,0.001161744,,0.000109572,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.000986105,9.30E-05,1,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
Manufacture of machinery and equipment,0.014230423,0.014484063,0.00839273,0.000883421,300,_sawing__softwood___cubic_meter__CH__None_,3,73,812.8583636,3900,117.8113726,0.012294282,0.00074986,1,_market_for_diesel__burned_in_building_machine___megajoule__GLO__None_,,,_sawing__softwood___cubic_meter__CH__None_
Manufacture of chemicals and chemical products,,0.002738852,,0.000369868,300,_sawing__softwood___cubic_meter__CH__None_,3,186,1303.964255,5400,117.8113726,0.002324777,0.000313949,98,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,,,_sawing__softwood___cubic_meter__CH__None_
"Waste collection, treatment, and disposal activities",,4.274427498,,0.540857549,300,_sawing__softwood___cubic_meter__CH__None_,3,186,1303.964255,5400,117.8113726,3.628195992,0.459087724,19,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,,,_sawing__softwood___cubic_meter__CH__None_
"Electricity, gas, steam and air conditioning supply",,6.682754782,,0.609493918,300,_sawing__softwood___cubic_meter__CH__None_,3,186,1303.964255,5400,117.8113726,5.672419084,0.517347268,10,_market_for_electricity__medium_voltage___kilowatt_hour__CH__None_,,,_sawing__softwood___cubic_meter__CH__None_
