names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,,,reference_product
"Wholesale trade, except of motor vehicles and motorcycles",,4.809955463,,0.493854336,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,4.082759887,0.419190716,14,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of coke and refined petroleum products,,1.820774865,,0.267979438,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,1.545500086,0.227464829,12,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Forestry and logging,,91.03956887,,3.562189444,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,77.2757051,3.023638011,11,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of rubber and plastic products,,0.038898101,,0.004308858,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.033017272,0.003657421,8,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of basic metals,,1.304221093,,0.120090074,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,1.10704176,0.101934195,8,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Civil engineering,,1.126818593,,0.110752815,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.956459948,0.094008594,6,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Land transport and transport via pipelines,,40.43613168,,4.233480788,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,34.32277444,3.593439831,6,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Mining of coal and lignite,,0.101328902,,0.011423478,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.08600944,0.009696413,5,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of food products,,1.165202929,,0.090292738,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.989041129,0.076641784,4,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Crop and animal production, hunting and related service activities",,0.472742226,,0.052154692,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.401270451,0.044269658,4,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of machinery and equipment,,0.018953567,,0.001586867,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.016088062,0.001346956,2,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Waste collection, treatment, and disposal activities",,0.439837737,,0.059674516,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.373340644,0.050652594,2,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Mining of metal ores,,0.112162048,,0.013567858,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.095204772,0.011516595,2,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of other non-metallic mineral products,,0.138420982,,0.014461461,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.117493735,0.012275098,2,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of electrical equipment,-0.000757678,0.000769057,0.000606366,6.66E-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.000652787,5.66E-05,2,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.12825218,,0.01205052,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.108862309,0.010228656,2,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Sewerage,0.003626356,0.003626356,0.001093113,0.000108286,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.003078104,9.19E-05,1,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Unknown,,0.090138098,,0.010723821,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.076510524,0.009102535,1,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Construction of buildings,,0.00429868,,0.000510988,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.003648782,0.000433734,1,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
