names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,
Manufacture of paper and paper products,,8.20E-05,,8.07E-06,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,6.96E-05,6.85E-06,1,
Extraction of crude petroleum and natural gas,,0.000480753,,5.21E-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.00040807,4.43E-05,1,
Repair and installation of machinery and equipment,0.000896273,0.000896962,0.000515861,5.16E-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,0.000761354,4.38E-05,1,
Manufacture of electrical equipment,8.63E-06,0.000105975,0.000158805,1.46E-05,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,4,538,3013.831441,9600,117.8113726,9.00E-05,1.24E-05,1,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Electricity, gas, steam and air conditioning supply",,7.99146757,,0.769146658,300,first,0,188,2089.515743,7200,117.8113726,6.78327346,0.652862827,76,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of chemicals and chemical products,,0.901505714,,0.083265197,300,first,0,188,2089.515743,7200,117.8113726,0.765211111,0.070676705,20,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Wholesale trade, except of motor vehicles and motorcycles",,6.581284058,,0.65475041,300,first,0,188,2089.515743,7200,117.8113726,5.586289263,0.555761634,15,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of coke and refined petroleum products,,2.376830682,,0.303009798,300,first,0,188,2089.515743,7200,117.8113726,2.01748832,0.257199107,11,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Forestry and logging,,87.88622835,,3.16602501,300,first,0,188,2089.515743,7200,117.8113726,74.59910398,2.6873679,11,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of rubber and plastic products,,0.061496595,,0.006601323,300,first,0,188,2089.515743,7200,117.8113726,0.052199201,0.005603299,8,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of basic metals,,1.717705733,,0.148437592,300,first,0,188,2089.515743,7200,117.8113726,1.458013513,0.125995979,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Civil engineering,,1.550054393,,0.148898878,300,first,0,188,2089.515743,7200,117.8113726,1.315708627,0.126387525,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Land transport and transport via pipelines,,54.68549194,,5.380471115,300,first,0,188,2089.515743,7200,117.8113726,46.41783788,4.567021838,6,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Mining of coal and lignite,,0.124775977,,0.012574557,300,first,0,188,2089.515743,7200,117.8113726,0.105911657,0.010673466,5,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of food products,,1.35645901,,0.104163653,300,first,0,188,2089.515743,7200,117.8113726,1.151382061,0.088415618,4,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
"Crop and animal production, hunting and related service activities",,0.453743232,,0.050996704,300,first,0,188,2089.515743,7200,117.8113726,0.38514383,0.043286741,4,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
