Category
0163:Post-harvest crop activities
4912:Freight rail transport
2410:Manufacture of basic iron and steel
2012:Manufacture of fertilizers and nitrogen compounds
4912:Freight rail transport
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
4923:Freight transport by road
2410:Manufacture of basic iron and steel
4923:Freight transport by road
4290:Construction of other civil engineering projects
2410:Manufacture of basic iron and steel
2410:Manufacture of basic iron and steel
2012:Manufacture of fertilizers and nitrogen compounds
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
0620:Extraction of natural gas
2012:Manufacture of fertilizers and nitrogen compounds
2012:Manufacture of fertilizers and nitrogen compounds
3530:Steam and air conditioning supply
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
4290:Construction of other civil engineering projects
"2395:Manufacture of articles of concrete, cement and plaster"
"3510:Electric power generation, transmission and distribution"
2910:Manufacture of motor vehicles
2012:Manufacture of fertilizers and nitrogen compounds
2420:Manufacture of basic precious and other non-ferrous metals
5022:Inland freight water transport
4312:Site preparation
"3510:Electric power generation, transmission and distribution"
0510:Mining of hard coal
3520:Manufacture of gas; distribution of gaseous fuels through mains
0910:Support activities for petroleum and natural gas extraction
"3510:Electric power generation, transmission and distribution"
2410:Manufacture of basic iron and steel
"2394:Manufacture of cement, lime and plaster"
"3510:Electric power generation, transmission and distribution"
2012:Manufacture of fertilizers and nitrogen compounds
"2394:Manufacture of cement, lime and plaster"
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
"2394:Manufacture of cement, lime and plaster"
"3510:Electric power generation, transmission and distribution"
2012:Manufacture of fertilizers and nitrogen compounds
"3510:Electric power generation, transmission and distribution"
0116:Growing of fibre crops
2420:Manufacture of basic precious and other non-ferrous metals
"3510:Electric power generation, transmission and distribution"
"0810:Quarrying of stone, sand and clay"
4923:Freight transport by road
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
2012:Manufacture of fertilizers and nitrogen compounds
0161:Support activities for crop production
4210:Construction of roads and railways
"3510:Electric power generation, transmission and distribution"
2410:Manufacture of basic iron and steel
2821:Manufacture of agricultural and forestry machinery
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
2910:Manufacture of motor vehicles
4923:Freight transport by road
2013:Manufacture of plastics and synthetic rubber in primary forms
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
2410:Manufacture of basic iron and steel
4912:Freight rail transport
4923:Freight transport by road
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
1920:Manufacture of refined petroleum products
5012:Sea and coastal freight water transport
3520:Manufacture of gas; distribution of gaseous fuels through mains
3530:Steam and air conditioning supply
"3510:Electric power generation, transmission and distribution"
2012:Manufacture of fertilizers and nitrogen compounds
"3510:Electric power generation, transmission and distribution"
3530:Steam and air conditioning supply
0161:Support activities for crop production
2012:Manufacture of fertilizers and nitrogen compounds
2012:Manufacture of fertilizers and nitrogen compounds
0510:Mining of hard coal
0510:Mining of hard coal
"4661:Wholesale of solid, liquid and gaseous fuels and related products"
2021:Manufacture of pesticides and other agrochemical products
3530:Steam and air conditioning supply
"3510:Electric power generation, transmission and distribution"
4912:Freight rail transport
3530:Steam and air conditioning supply
2410:Manufacture of basic iron and steel
2220:Manufacture of plastics products
"3510:Electric power generation, transmission and distribution"
2812:Manufacture of fluid power equipment
2012:Manufacture of fertilizers and nitrogen compounds
4290:Construction of other civil engineering projects
3530:Steam and air conditioning supply
"3510:Electric power generation, transmission and distribution"
2012:Manufacture of fertilizers and nitrogen compounds
2012:Manufacture of fertilizers and nitrogen compounds
"3510:Electric power generation, transmission and distribution"
0161:Support activities for crop production
4210:Construction of roads and railways
4312:Site preparation
"3510:Electric power generation, transmission and distribution"
4923:Freight transport by road
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
"3510:Electric power generation, transmission and distribution"
2012:Manufacture of fertilizers and nitrogen compounds
