Category
2012:Manufacture of fertilizers and nitrogen compounds
0161:Support activities for crop production
3530:Steam and air conditioning supply
3821:Treatment and disposal of non-hazardous waste
4100:Construction of buildings
2012:Manufacture of fertilizers and nitrogen compounds
3530:Steam and air conditioning supply
0161:Support activities for crop production
0161:Support activities for crop production
3530:Steam and air conditioning supply
3530:Steam and air conditioning supply
0161:Support activities for crop production
0161:Support activities for crop production
0127:Growing of beverage crops
2012:Manufacture of fertilizers and nitrogen compounds
