Category
"3510:Electric power generation, transmission and distribution"
2910:Manufacture of motor vehicles
4922:Other passenger land transport
"3510:Electric power generation, transmission and distribution"
2910:Manufacture of motor vehicles
1920:Manufacture of refined petroleum products
4922:Other passenger land transport
4922:Other passenger land transport
4922:Other passenger land transport
4922:Other passenger land transport
2410:Manufacture of basic iron and steel
0510:Mining of hard coal
4922:Other passenger land transport
2910:Manufacture of motor vehicles
2410:Manufacture of basic iron and steel
2410:Manufacture of basic iron and steel
4922:Other passenger land transport
2410:Manufacture of basic iron and steel
4922:Other passenger land transport
4922:Other passenger land transport
2910:Manufacture of motor vehicles
"3510:Electric power generation, transmission and distribution"
4922:Other passenger land transport
1910:Manufacture of coke oven products
4922:Other passenger land transport
4922:Other passenger land transport
1920:Manufacture of refined petroleum products
4922:Other passenger land transport
2410:Manufacture of basic iron and steel
"4661:Wholesale of solid, liquid and gaseous fuels and related products"
